"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"25","Corymbia citriodora subsp. variegata","Corymbia citriodora","Corymbia citriodora","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"26","Corymbia dolichocarpa","Corymbia dolichocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Corymbia eximia","Corymbia eximia","Corymbia eximia","branches rough, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"28","Corymbia gummifera","Corymbia gummifera","Corymbia gummifera","branches rough, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"29","Corymbia henryi","Corymbia henryi","Corymbia henryi","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"30","Corymbia intermedia","Corymbia intermedia","Corymbia intermedia","branches rough, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"31","Corymbia maculata","Corymbia maculata","Corymbia maculata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"32","Corymbia maculata <--> variegata intergrade","Corymbia maculata <--> variegata intergrade","Corymbia maculata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"33","Corymbia spp.","Corymbia spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris","branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"35","Corymbia torelliana","Corymbia torelliana","Corymbia torelliana","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"36","Corymbia trachyphloia","Corymbia trachyphloia","Corymbia trachyphloia","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"37","Corymbia trachyphloia subsp. amphistomatica","Corymbia trachyphloia subsp. amphistomatica","Corymbia trachyphloia","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
