"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus macrorhyncha","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha",NA
"Eucalyptus magnificata","Eucalyptus magnificata","Eucalyptus magnificata","Eucalyptus magnificata",NA
"Eucalyptus globulus subsp. maidenii","Eucalyptus maidenii","Eucalyptus globulus subsp. maidenii","Eucalyptus globulus subsp. maidenii",NA
"Eucalyptus globulus subsp. maidenii","Eucalyptus maidenii","Eucalyptus maidenii","Eucalyptus globulus subsp. maidenii",NA
"Eucalyptus major","Eucalyptus major","Eucalyptus major","Eucalyptus major",NA
"Eucalyptus malacoxylon","Eucalyptus malacoxylon","Eucalyptus malacoxylon","Eucalyptus malacoxylon",NA
"Eucalyptus mannifera","Eucalyptus mannifera","Eucalyptus mannifera","NA",NA
"Eucalyptus mannifera subsp. gullickii","Eucalyptus mannifera subsp. gullickii","Eucalyptus mannifera subsp. gullickii","Eucalyptus mannifera subsp. gullickii",NA
"Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. maculosa","Eucalyptus mannifera subsp. mannifera",NA
"Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera",NA
"Eucalyptus mckieana","Eucalyptus mckieana","Eucalyptus mckieana","Eucalyptus mckieana",NA
"Eucalyptus melanophloia","Eucalyptus melanophloia","Eucalyptus melanophloia","Eucalyptus melanophloia subsp. melanophloia",NA
"Eucalyptus melliodora","Eucalyptus melliodora","Eucalyptus melliodora","Eucalyptus melliodora",NA
"Eucalyptus michaeliana","Eucalyptus michaeliana","Eucalyptus michaeliana","Eucalyptus michaeliana",NA
"Eucalyptus microcarpa","Eucalyptus microcarpa","Eucalyptus microcarpa","Eucalyptus microcarpa",NA
"","Eucalyptus microcarpa <--> viridis","Eucalyptus microcarpa <--> viridis","No match",NA
"","Eucalyptus microcarpa x pilligaensis","Eucalyptus microcarpa x pilligaensis","No match",NA
"Eucalyptus microcorys","Eucalyptus microcorys","Eucalyptus microcorys","Eucalyptus microcorys",NA
"Eucalyptus moluccana","Eucalyptus moluccana","Eucalyptus moluccana","Eucalyptus moluccana",NA
"Eucalyptus moorei","Eucalyptus moorei","Eucalyptus moorei","NA",NA
"Eucalyptus morrisii","Eucalyptus morrisii","Eucalyptus morrisii","Eucalyptus morrisii",NA
"Eucalyptus muelleriana","Eucalyptus muelleriana","Eucalyptus muelleriana","Eucalyptus muelleriana",NA
"Eucalyptus multicaulis","Eucalyptus multicaulis","Eucalyptus multicaulis","Eucalyptus multicaulis",NA
"Eucalyptus nandewarica","Eucalyptus nandewarica","Eucalyptus nandewarica","Eucalyptus nandewarica",NA
"Eucalyptus nicholii","Eucalyptus nicholii","Eucalyptus nicholii","Eucalyptus nicholii",NA
"Eucalyptus pauciflora subsp. niphophila","Eucalyptus niphophila","Eucalyptus niphophila","Eucalyptus pauciflora subsp. niphophila",NA
"Eucalyptus pauciflora subsp. niphophila","Eucalyptus niphophila","Eucalyptus pauciflora subsp. niphophila","Eucalyptus pauciflora subsp. niphophila",NA
"Eucalyptus nitens","Eucalyptus nitens","Eucalyptus nitens","Eucalyptus nitens",NA
"Eucalyptus nobilis","Eucalyptus nobilis","Eucalyptus nobilis","Eucalyptus nobilis",NA
"","Eucalyptus nobilis <--> viminalis","Eucalyptus nobilis <--> viminalis","No match",NA
"Eucalyptus nortonii","Eucalyptus nortonii","Eucalyptus nortonii","Eucalyptus nortonii",NA
"Eucalyptus notabilis","Eucalyptus notabilis","Eucalyptus notabilis","Eucalyptus notabilis",NA
"Eucalyptus nova-anglica","Eucalyptus nova-anglica","Eucalyptus nova-anglica","Eucalyptus nova-anglica",NA
"Eucalyptus fibrosa subsp. nubilis","Eucalyptus nubila","Eucalyptus fibrosa subsp. nubila","Eucalyptus fibrosa subsp. nubila",NA
"Eucalyptus fibrosa subsp. nubilis","Eucalyptus nubila","Eucalyptus nubila","Eucalyptus fibrosa subsp. nubila",NA
"Eucalyptus obliqua","Eucalyptus obliqua","Eucalyptus obliqua","Eucalyptus obliqua",NA
"Eucalyptus globoidea","Eucalyptus oblonga","Eucalyptus oblonga","NA",NA
"Eucalyptus burgessiana","Eucalyptus obstans","Eucalyptus obstans","Eucalyptus obtusiflora",NA
"Eucalyptus burgessiana","Eucalyptus obstans","Eucalyptus obtusiflora","Eucalyptus obtusiflora",NA
"Eucalyptus ochrophloia","Eucalyptus ochrophloia","Eucalyptus ochrophloia","Eucalyptus ochrophloia",NA
"Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa","Eucalyptus oleosa subsp. oleosa",NA
"Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa subsp. oleosa",NA
"Eucalyptus olida","Eucalyptus olida","Eucalyptus olida","Eucalyptus olida",NA
"Eucalyptus olsenii","Eucalyptus olsenii","Eucalyptus olsenii","Eucalyptus olsenii",NA
"Eucalyptus ophitica","Eucalyptus ophitica","Eucalyptus ophitica","Eucalyptus ophitica",NA
"Eucalyptus oreades","Eucalyptus oreades","Eucalyptus oreades","Eucalyptus oreades",NA
"Eucalyptus cypellocarpa","Eucalyptus oresbia","Eucalyptus oresbia","NA",NA
"Eucalyptus ovata","Eucalyptus ovata","Eucalyptus ovata","NA",NA
"Eucalyptus pachycalyx subsp. banyabba","Eucalyptus pachycalyx subsp. banyabba","Eucalyptus pachycalyx","NA",NA
"Eucalyptus pachycalyx subsp. banyabba","Eucalyptus pachycalyx subsp. banyabba","Eucalyptus pachycalyx subsp. banyabba","Eucalyptus pachycalyx subsp. waajensis",NA
"Eucalyptus paliformis","Eucalyptus paliformis","Eucalyptus paliformis","Eucalyptus paliformis",NA
"Eucalyptus panda","Eucalyptus panda","Eucalyptus panda","Eucalyptus panda",NA
"Eucalyptus paniculata","Eucalyptus paniculata","Eucalyptus paniculata","Eucalyptus paniculata",NA
"Eucalyptus paniculata","Eucalyptus paniculata subsp. matutina","Eucalyptus paniculata subsp. matutina","NA",NA
"Eucalyptus paniculata","Eucalyptus paniculata subsp. paniculata","Eucalyptus paniculata subsp. paniculata","NA",NA
"Eucalyptus parramattensis","Eucalyptus parramattensis","Eucalyptus parramattensis","Eucalyptus parramattensis subsp. parramattensis",NA
"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens",NA
"Eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis","Eucalyptus parramattensis subsp. parramattensis",NA
"Eucalyptus parvula","Eucalyptus parvula","Eucalyptus parvifolia","Eucalyptus parvula",NA
"Eucalyptus parvula","Eucalyptus parvula","Eucalyptus parvula","Eucalyptus parvula",NA
"Eucalyptus pauciflora","Eucalyptus pauciflora","Eucalyptus pauciflora","Eucalyptus pauciflora subsp. pauciflora",NA
"Eucalyptus pauciflora","Eucalyptus pauciflora","Eucalyptus pauciflora subsp. pauciflora","Eucalyptus pauciflora subsp. pauciflora",NA
"Eucalyptus perriniana","Eucalyptus perriniana","Eucalyptus perriniana","Eucalyptus perriniana",NA
"Eucalyptus woollsiana","Eucalyptus pilligaensis","Eucalyptus pilligaensis","Eucalyptus woollsiana",NA
"Eucalyptus pilularis","Eucalyptus pilularis","Eucalyptus pilularis","Eucalyptus pilularis",NA
"Eucalyptus piperita","Eucalyptus piperita","Eucalyptus piperita","NA",NA
"Eucalyptus piperita","Eucalyptus piperita","Eucalyptus piperita subsp. piperita","Eucalyptus piperita subsp. piperita",NA
"Eucalyptus piperita","Eucalyptus piperita","Eucalyptus piperita subsp. urceolaris","Eucalyptus piperita subsp. urceolaris",NA
"Eucalyptus placita","Eucalyptus placita","Eucalyptus placita","Eucalyptus placita",NA
"Eucalyptus planchoniana","Eucalyptus planchoniana","Eucalyptus planchoniana","Eucalyptus planchoniana",NA
"Eucalyptus polyanthemos","Eucalyptus polyanthemos","Eucalyptus polyanthemos","NA",NA
"Eucalyptus polyanthemos","Eucalyptus polyanthemos","Eucalyptus polyanthemos subsp. tarda","NA",NA
"Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos",NA
"Eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita",NA
"Eucalyptus polybractea","Eucalyptus polybractea","Eucalyptus polybractea","Eucalyptus polybractea",NA
"Eucalyptus populnea","Eucalyptus populnea subsp. bimbil","Eucalyptus populnea","Eucalyptus populnea",NA
"Eucalyptus populnea","Eucalyptus populnea subsp. bimbil","Eucalyptus populnea subsp. bimbil","Eucalyptus populnea",NA
"Eucalyptus porosa","Eucalyptus porosa","Eucalyptus porosa","Eucalyptus porosa",NA
"Eucalyptus mannifera subsp. praecox","Eucalyptus praecox","Eucalyptus mannifera subsp. praecox","Eucalyptus mannifera subsp. praecox",NA
"Eucalyptus mannifera subsp. praecox","Eucalyptus praecox","Eucalyptus praecox","Eucalyptus mannifera subsp. praecox",NA
"Eucalyptus prava","Eucalyptus prava","Eucalyptus prava","Eucalyptus prava",NA
"Eucalyptus youmanii","Eucalyptus prominula","Eucalyptus prominula","Eucalyptus prominula",NA
"Eucalyptus propinqua","Eucalyptus propinqua","Eucalyptus propinqua","Eucalyptus propinqua",NA
"Eucalyptus psammitica","Eucalyptus psammitica","Eucalyptus psammitica","Eucalyptus psammitica",NA
"Eucalyptus globulus subsp. pseudoglobulus","Eucalyptus pseudoglobulus","Eucalyptus pseudoglobulus","Eucalyptus globulus subsp. pseudoglobulus",NA
"Eucalyptus pulverulenta","Eucalyptus pulverulenta","Eucalyptus pulverulenta","Eucalyptus pulverulenta",NA
"Eucalyptus pumila","Eucalyptus pumila","Eucalyptus pumila","Eucalyptus pumila",NA
"Eucalyptus punctata","Eucalyptus punctata","Eucalyptus punctata","Eucalyptus punctata",NA
"Eucalyptus punctata","Eucalyptus punctata subsp. punctata","Eucalyptus punctata subsp. punctata","NA",NA
"Eucalyptus pyrocarpa","Eucalyptus pyrocarpa","Eucalyptus pyrocarpa","Eucalyptus pyrocarpa",NA
"Eucalyptus quadrangulata","Eucalyptus quadrangulata","Eucalyptus quadrangulata","Eucalyptus quadrangulata",NA
"Eucalyptus quinniorum","Eucalyptus quinniorum","Eucalyptus quinniorum","NA",NA
"Eucalyptus racemosa","Eucalyptus racemosa","Eucalyptus racemosa","Eucalyptus racemosa subsp. racemosa",NA
"Eucalyptus racemosa","Eucalyptus racemosa","Eucalyptus racemosa subsp. racemosa","Eucalyptus racemosa subsp. racemosa",NA
"Eucalyptus radiata","Eucalyptus radiata","Eucalyptus radiata","NA",NA
"Eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata",NA
"Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta",NA
"Eucalyptus tenella","Eucalyptus ralla","Eucalyptus ralla","NA",NA
"Eucalyptus recurva","Eucalyptus recurva","Eucalyptus recurva","Eucalyptus recurva",NA
"Eucalyptus resinifera","Eucalyptus resinifera","Eucalyptus resinifera","NA",NA
"Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra",NA
"Eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera",NA
"Eucalyptus retinens","Eucalyptus retinens","Eucalyptus retinens","Eucalyptus retinens",NA
"Eucalyptus radiata subsp. robertsonii","Eucalyptus robertsonii","Eucalyptus radiata subsp. robertsonii","Eucalyptus radiata subsp. robertsonii",NA
"Eucalyptus radiata subsp. robertsonii","Eucalyptus robertsonii","Eucalyptus robertsonii","Eucalyptus radiata subsp. robertsonii",NA
"Eucalyptus radiata subsp. robertsonii","Eucalyptus robertsonii subsp. hemisphaerica","Eucalyptus robertsonii subsp. hemisphaerica","NA",NA
"Eucalyptus radiata subsp. robertsonii","Eucalyptus robertsonii subsp. robertsonii","Eucalyptus robertsonii subsp. robertsonii","NA",NA
"Eucalyptus robusta","Eucalyptus robusta","Eucalyptus robusta","Eucalyptus robusta",NA
"","Eucalyptus robusta x saligna","Eucalyptus robusta x saligna","No match",NA
"Eucalyptus rossii","Eucalyptus rossii","Eucalyptus racemosa subsp. rossii","Eucalyptus racemosa subsp. rossii",NA
"Eucalyptus rossii","Eucalyptus rossii","Eucalyptus rossii","Eucalyptus racemosa subsp. rossii",NA
"Eucalyptus rubida","Eucalyptus rubida","Eucalyptus rubida","NA",NA
"Eucalyptus rubida subsp. barbigerorum","Eucalyptus rubida subsp. barbigerorum","Eucalyptus rubida subsp. barbigerorum","Eucalyptus rubida subsp. barbigerorum",NA
"Eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida",NA
"","Eucalyptus rubida x viminalis","Eucalyptus rubida x viminalis","No match",NA
"Eucalyptus rudderi","Eucalyptus rudderi","Eucalyptus rudderi","Eucalyptus rudderi",NA
"Eucalyptus rummeryi","Eucalyptus rummeryi","Eucalyptus rummeryi","Eucalyptus rummeryi",NA
"Eucalyptus saligna","Eucalyptus saligna","Eucalyptus saligna","Eucalyptus saligna",NA
"Eucalyptus saxatilis","Eucalyptus saxatilis","Eucalyptus saxatilis","Eucalyptus saxatilis",NA
"Eucalyptus bridgesiana","Eucalyptus saxicola","Eucalyptus saxicola","NA",NA
"Eucalyptus scias","Eucalyptus scias","Eucalyptus pellita","Eucalyptus pellita",NA
"Eucalyptus scias","Eucalyptus scias","Eucalyptus scias","Eucalyptus pellita",NA
"Eucalyptus scias subsp. apoda","Eucalyptus scias subsp. apoda","Eucalyptus scias subsp. apoda","Eucalyptus scias subsp. apoda",NA
"Eucalyptus scias subsp. scias","Eucalyptus scias subsp. callimastha","Eucalyptus scias subsp. callimastha","NA",NA
"Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias",NA
"Eucalyptus racemosa","Eucalyptus sclerophylla","Eucalyptus sclerophylla","NA",NA
"Eucalyptus scoparia","Eucalyptus scoparia","Eucalyptus scoparia","Eucalyptus scoparia",NA
"Eucalyptus seeana","Eucalyptus seeana","Eucalyptus seeana","Eucalyptus seeana",NA
"Eucalyptus moorei subsp. serpentinicola","Eucalyptus serpentinicola","Eucalyptus serpentinicola","Eucalyptus moorei subsp. serpentinicola",NA
"Eucalyptus siderophloia","Eucalyptus siderophloia","Eucalyptus siderophloia","Eucalyptus siderophloia",NA
"Eucalyptus sideroxylon","Eucalyptus sideroxylon","Eucalyptus sideroxylon","Eucalyptus sideroxylon",NA
"Eucalyptus sideroxylon","Eucalyptus sideroxylon","Eucalyptus sideroxylon subsp. sideroxylon","Eucalyptus sideroxylon",NA
"","Eucalyptus sideroxylon <--> viridis","Eucalyptus sideroxylon <--> viridis","No match",NA
"Eucalyptus sieberi","Eucalyptus sieberi","Eucalyptus sieberi","Eucalyptus sieberi",NA
"Eucalyptus racemosa","Eucalyptus signata","Eucalyptus signata","NA",NA
"Eucalyptus smithii","Eucalyptus smithii","Eucalyptus smithii","Eucalyptus smithii",NA
"Eucalyptus socialis","Eucalyptus socialis","Eucalyptus socialis","Eucalyptus socialis subsp. socialis",NA
"","Eucalyptus sp. aff. agglomerata","Eucalyptus sp. aff. agglomerata","NA",NA
"","Eucalyptus sp. aff. cameronii (Macleay-Apsley)","Eucalyptus sp. aff. cameronii (Macleay-Apsley)","NA",NA
"","Eucalyptus sp. aff. dwyeri","Eucalyptus sp. aff. dwyeri","NA",NA
"","Eucalyptus sp. aff. fibrosa (Pokolbin)","Eucalyptus sp. aff. fibrosa (Pokolbin)","NA",NA
"","Eucalyptus sp. aff. fibrosa (Yarrawa)","Eucalyptus sp. aff. fibrosa (Yarrawa)","NA",NA
"Eucalyptus mackintii","Eucalyptus sp. aff. macrorhyncha","Eucalyptus sp. aff. macrorhyncha","NA",NA
"Eucalyptus sp. Cattai","Eucalyptus sp. Cattai","Eucalyptus sp. 'Cattai'","NA",NA
"Eucalyptus sparsifolia","Eucalyptus sparsifolia","Eucalyptus sparsifolia","Eucalyptus sparsifolia",NA
"Eucalyptus stricta","Eucalyptus spectatrix","Eucalyptus spectatrix","NA",NA
"Eucalyptus squamosa","Eucalyptus squamosa","Eucalyptus squamosa","Eucalyptus squamosa",NA
"Eucalyptus stellulata","Eucalyptus stellulata","Eucalyptus stellulata","Eucalyptus stellulata",NA
"Eucalyptus stenostoma","Eucalyptus stenostoma","Eucalyptus stenostoma","Eucalyptus stenostoma",NA
"Eucalyptus stricta","Eucalyptus stricta","Eucalyptus stricta","Eucalyptus stricta",NA
"Eucalyptus sturgissiana","Eucalyptus sturgissiana","Eucalyptus sturgissiana","Eucalyptus sturgissiana",NA
"Eucalyptus agglomerata","Eucalyptus subcaerulea","Eucalyptus subcaerula","NA",NA
"Eucalyptus agglomerata","Eucalyptus subcaerulea","Eucalyptus subcaerulea","NA",NA
"Eucalyptus youmanii","Eucalyptus subtilior","Eucalyptus stannicola","NA",NA
"Eucalyptus youmanii","Eucalyptus subtilior","Eucalyptus subtilior","NA",NA
"Eucalyptus tenella","Eucalyptus tenella","Eucalyptus tenella","Eucalyptus tenella",NA
"Eucalyptus tereticornis","Eucalyptus tereticornis","Eucalyptus tereticornis","NA",NA
"Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis",NA
"Eucalyptus tetrapleura","Eucalyptus tetrapleura","Eucalyptus tetrapleura","Eucalyptus tetrapleura",NA
"Eucalyptus tindaliae","Eucalyptus tindaliae","Eucalyptus tindaliae","Eucalyptus tindaliae",NA
"Eucalyptus tricarpa","Eucalyptus tricarpa","Eucalyptus tricarpa","Eucalyptus tricarpa",NA
"Eucalyptus triflora","Eucalyptus triflora","Eucalyptus triflora","Eucalyptus triflora",NA
"Eucalyptus cinerea subsp. triplex","Eucalyptus triplex","Eucalyptus triplex","Eucalyptus cinerea subsp. triplex",NA
"Eucalyptus umbra","Eucalyptus umbra","Eucalyptus umbra","Eucalyptus umbra",NA
"Eucalyptus umbra","Eucalyptus umbra","Eucalyptus umbra subsp. umbra","Eucalyptus umbra",NA
"Eucalyptus vicina","Eucalyptus vicina","Eucalyptus vicina","Eucalyptus vicina",NA
"Eucalyptus viminalis","Eucalyptus viminalis","Eucalyptus viminalis","Eucalyptus viminalis subsp. viminalis",NA
"Eucalyptus viminalis","Eucalyptus viminalis","Eucalyptus viminalis subsp. viminalis","Eucalyptus viminalis subsp. viminalis",NA
"","Eucalyptus viminalis subsp. luxurians","Eucalyptus viminalis subsp. luxurians","NA",NA
"Eucalyptus viridis","Eucalyptus viridis","Eucalyptus viridis","Eucalyptus viridis",NA
"Eucalyptus volcanica","Eucalyptus volcanica","Eucalyptus volcanica","Eucalyptus volcanica",NA
"Eucalyptus wilcoxii","Eucalyptus wilcoxii","Eucalyptus wilcoxii","Eucalyptus wilcoxii",NA
"Eucalyptus williamsiana","Eucalyptus williamsiana","Eucalyptus williamsiana","Eucalyptus williamsiana",NA
"Eucalyptus youmanii","Eucalyptus youmanii","Eucalyptus youmanii","Eucalyptus youmanii",NA
"NA","NA",NA,"NA","Eucalyptus alligatrix subsp. miscella"
"NA","NA",NA,"NA","Eucalyptus camaldulensis subsp. acuta"
"NA","NA",NA,"NA","Eucalyptus camaldulensis subsp. arida"
"NA","NA",NA,"NA","Eucalyptus cephalocarpa"
"NA","NA",NA,"NA","Eucalyptus cinerea subsp. cinerea"
"NA","NA",NA,"NA","Eucalyptus denticulata"
"NA","NA",NA,"NA","Eucalyptus deuaensis"
"NA","NA",NA,"NA","Eucalyptus dura"
"NA","NA",NA,"NA","Eucalyptus imlayensis"
"NA","NA",NA,"NA","Eucalyptus infera"
"NA","NA",NA,"No match","Eucalyptus parramattensis var. sphaerocalyx"
"NA","NA",NA,"NA","Eucalyptus polyanthemos subsp. longior"
"NA","NA",NA,"NA","Eucalyptus scopulorum"
"NA","NA",NA,"NA","Eucalyptus tereticornis subsp. basaltica"
