"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus apiculata","Eucalyptus apiculata","Eucalyptus apiculata","Eucalyptus apiculata",NA
"Eucalyptus apothalassica","Eucalyptus apothalassica","Eucalyptus apothalassica","Eucalyptus apothalassica",NA
"","Eucalyptus apothalassica x chloroclada","Eucalyptus apothalassica x chloroclada","No match",NA
"Eucalyptus approximans","Eucalyptus approximans","Eucalyptus approximans","Eucalyptus approximans subsp. approximans",NA
"Eucalyptus aquatica","Eucalyptus aquatica","Eucalyptus aquatica","Eucalyptus camphora subsp. camphora",NA
"Eucalyptus badjensis","Eucalyptus badjensis","Eucalyptus badjensis","Eucalyptus badjensis",NA
"Eucalyptus baeuerlenii","Eucalyptus baeuerlenii","Eucalyptus baeuerlenii","Eucalyptus baeuerlenii",NA
"Eucalyptus baileyana","Eucalyptus baileyana","Eucalyptus baileyana","Eucalyptus baileyana",NA
"Eucalyptus bakeri","Eucalyptus bakeri","Eucalyptus bakeri","Eucalyptus bakeri",NA
"Eucalyptus bancroftii","Eucalyptus bancroftii","Eucalyptus bancroftii","Eucalyptus bancroftii",NA
"Eucalyptus banksii","Eucalyptus banksii","Eucalyptus banksii","Eucalyptus banksii",NA
"Eucalyptus baueriana","Eucalyptus baueriana","Eucalyptus bauerana","Eucalyptus baueriana",NA
"Eucalyptus baueriana","Eucalyptus baueriana","Eucalyptus baueriana","Eucalyptus baueriana",NA
"Eucalyptus baxteri","Eucalyptus baxteri","Eucalyptus baxteri","Eucalyptus baxteri",NA
"Eucalyptus behriana","Eucalyptus behriana","Eucalyptus behriana","Eucalyptus behriana",NA
"Eucalyptus bensonii","Eucalyptus bensonii","Eucalyptus bensonii","Eucalyptus bensonii",NA
"Eucalyptus benthamii","Eucalyptus benthamii","Eucalyptus benthamii","Eucalyptus benthamii",NA
"Eucalyptus beyeriana","Eucalyptus beyeriana","Eucalyptus beyeri","Eucalyptus beyeri",NA
"Eucalyptus beyeriana","Eucalyptus beyeriana","Eucalyptus beyeriana","Eucalyptus beyeri",NA
"Eucalyptus x beyeri","Eucalyptus beyeriana <--> crebra","Eucalyptus beyeriana <--> crebra","No match",NA
"Eucalyptus globulus subsp. bicostata","Eucalyptus bicostata","Eucalyptus bicostata","Eucalyptus globulus subsp. bicostata",NA
"Eucalyptus globulus subsp. bicostata","Eucalyptus bicostata","Eucalyptus globulus subsp. bicostata","Eucalyptus globulus subsp. bicostata",NA
"Eucalyptus punctata","Eucalyptus biturbinata","Eucalyptus biturbinata","NA",NA
"Eucalyptus punctata","Eucalyptus biturbinata","Eucalyptus punctata var. didyma","NA",NA
"Eucalyptus blakelyi","Eucalyptus blakelyi","Eucalyptus blakelyi","Eucalyptus blakelyi",NA
"","Eucalyptus blakelyi <--> dealbata","Eucalyptus blakelyi <--> dealbata","No match",NA
"","Eucalyptus blakelyi <--> tereticornis","Eucalyptus blakelyi <--> tereticornis","No match",NA
"","Eucalyptus blakelyi x chloroclada","Eucalyptus blakelyi x chloroclada","No match",NA
"","Eucalyptus blakelyi x dwyeri","Eucalyptus blakelyi x dwyeri","No match",NA
"","Eucalyptus blakelyi x melliodora","Eucalyptus blakelyi x melliodora","No match",NA
"Eucalyptus blaxlandii","Eucalyptus blaxlandii","Eucalyptus blaxlandii","Eucalyptus blaxlandii",NA
"Eucalyptus boliviana","Eucalyptus boliviana","Eucalyptus boliviana","Eucalyptus boliviana",NA
"Eucalyptus bosistoana","Eucalyptus bosistoana","Eucalyptus bosistoana","Eucalyptus bosistoana",NA
"Eucalyptus botryoides","Eucalyptus botryoides","Eucalyptus botryoides","Eucalyptus botryoides",NA
"","Eucalyptus botryoides <--> saligna","Eucalyptus botryoides <--> saligna","No match",NA
