species,bark
Eucalyptus gittinsii subsp. illucida,partly rough
Eucalyptus glaucescens,partly rough
Eucalyptus globulus subsp. bicostata,partly rough
Eucalyptus globulus subsp. globulus,partly rough
Eucalyptus globulus subsp. maidenii,partly rough
Eucalyptus globulus subsp. pseudoglobulus,partly rough
Eucalyptus glomerosa,partly rough
Eucalyptus gongylocarpa,partly rough
Eucalyptus goniantha subsp. goniantha,partly rough
Eucalyptus goniocalyx subsp. exposa,partly rough
Eucalyptus goniocalyx subsp. goniocalyx,partly rough
Eucalyptus gracilis,partly rough
Eucalyptus grandis,partly rough
Eucalyptus griffithsii,partly rough
Eucalyptus grossa,partly rough
Eucalyptus gunnii,partly rough
Eucalyptus gypsophila,partly rough
Eucalyptus halophila,partly rough
Eucalyptus hebetifolia,partly rough
Eucalyptus histophylla,partly rough
Eucalyptus horistes,partly rough
Eucalyptus hypolaena,partly rough
Eucalyptus imlayensis,partly rough
Eucalyptus incrassata,partly rough
Eucalyptus indurata,partly rough
Eucalyptus insularis,partly rough
Eucalyptus intertexta,partly rough
Eucalyptus johnsoniana,partly rough
Eucalyptus johnstonii,partly rough
Eucalyptus jucunda,partly rough
Eucalyptus jutsonii subsp. jutsonii,partly rough
Eucalyptus kabiana,partly rough
Eucalyptus kartzoffiana,partly rough
Eucalyptus kessellii subsp. eugnosta,partly rough
Eucalyptus kessellii subsp. kessellii,partly rough
Eucalyptus kingsmillii subsp. alatissima,partly rough
Eucalyptus kingsmillii subsp. kingsmillii,partly rough
Eucalyptus kitsoniana,partly rough
Eucalyptus kochii subsp. borealis,partly rough
Eucalyptus kochii subsp. kochii,partly rough
Eucalyptus kochii subsp. plenissima,partly rough
Eucalyptus kochii subsp. yellowdinensis,partly rough
Eucalyptus kondininensis,partly rough
Eucalyptus kondininensis subsp. tuberosa,partly rough
Eucalyptus kruseana,partly rough
Eucalyptus laevis,partly rough
Eucalyptus lane-poolei,partly rough
Eucalyptus langleyi,partly rough
Eucalyptus lansdowneana,partly rough
Eucalyptus largeana,partly rough
Eucalyptus lateritica,partly rough
Eucalyptus leprophloia,partly rough
Eucalyptus leptophylla,partly rough
Eucalyptus leptopoda subsp. arctata,partly rough
Eucalyptus leptopoda subsp. leptopoda,partly rough
Eucalyptus leptopoda subsp. subluta,partly rough
Eucalyptus lesouefii,partly rough
Eucalyptus leucoxylon subsp. leucoxylon,partly rough
Eucalyptus leucoxylon subsp. megalocarpa,partly rough
Eucalyptus leucoxylon subsp. pruinosa,partly rough
Eucalyptus leucoxylon subsp. stephaniae,partly rough
Eucalyptus litoralis,partly rough
Eucalyptus litorea,partly rough
Eucalyptus lockyeri subsp. exuta,partly rough
Eucalyptus lockyeri subsp. lockyeri,partly rough
Eucalyptus longicornis,partly rough
Eucalyptus longissima,partly rough
Eucalyptus loxophleba subsp. lissophloia,partly rough
Eucalyptus loxophleba subsp. loxophleba,partly rough
Eucalyptus loxophleba subsp. supralaevis,partly rough
Eucalyptus lucasii,partly rough
Eucalyptus lucens,partly rough
Eucalyptus luteola,partly rough
Eucalyptus macrandra,partly rough
Eucalyptus magnificata,partly rough
Eucalyptus mannensis subsp. mannensis,partly rough
Eucalyptus mannensis subsp. vespertina,partly rough
Eucalyptus mannifera subsp. gullickii,partly rough
Eucalyptus mannifera subsp. praecox,partly rough
Eucalyptus medialis,partly rough
Eucalyptus melanophitra,partly rough
Eucalyptus melanoxylon,partly rough
Eucalyptus melliodora,partly rough
Eucalyptus merrickiae,partly rough
Eucalyptus microcarpa,partly rough
Eucalyptus microtheca,partly rough
