species,bark
Eucalyptus capillosa subsp. capillosa,partly or all smooth
Eucalyptus capillosa subsp. polyclada,partly or all smooth
Eucalyptus captiosa,partly or all smooth
Eucalyptus carnabyi,partly or all smooth
Eucalyptus carnei,partly or all smooth
Eucalyptus celastroides subsp. celastroides,partly or all smooth
Eucalyptus celastroides subsp. virella,partly or all smooth
Eucalyptus cerasiformis,partly or all smooth
Eucalyptus ceratocorys,partly or all smooth
Eucalyptus cernua,partly or all smooth
Eucalyptus chapmaniana,partly or all smooth
Eucalyptus chartaboma,partly or all smooth
Eucalyptus chloroclada,partly or all smooth
Eucalyptus cladocalyx,partly or all smooth
Eucalyptus clelandii,partly or all smooth
Eucalyptus clivicola,partly or all smooth
Eucalyptus cloeziana,partly or all smooth
Eucalyptus cneorifolia,partly or all smooth
Eucalyptus coccifera,partly or all smooth
Eucalyptus comitae-vallis,partly or all smooth
Eucalyptus concinna,partly or all smooth
Eucalyptus conferruminata subsp. conferruminata,partly or all smooth
Eucalyptus conferruminata subsp. recherche,partly or all smooth
Eucalyptus confluens,partly or all smooth
Eucalyptus conglobata subsp. conglobata,partly or all smooth
Eucalyptus conglobata subsp. perata,partly or all smooth
Eucalyptus consideniana,partly or all smooth
Eucalyptus conspicua subsp. conspicua,partly or all smooth
Eucalyptus conveniens,partly or all smooth
Eucalyptus coolabah,partly or all smooth
Eucalyptus cooperiana,partly or all smooth
Eucalyptus cordata subsp. cordata,partly or all smooth
Eucalyptus cordata subsp. quadrangulosa,partly or all smooth
Eucalyptus cornuta,partly or all smooth
Eucalyptus coronata,partly or all smooth
Eucalyptus corrugata,partly or all smooth
Eucalyptus cosmophylla,partly or all smooth
Eucalyptus crenulata,partly or all smooth
Eucalyptus creta,partly or all smooth
Eucalyptus cretata,partly or all smooth
Eucalyptus crispata,partly or all smooth
Eucalyptus croajingolensis,partly or all smooth
Eucalyptus crucis subsp. crucis,partly or all smooth
Eucalyptus crucis subsp. lanceolata,partly or all smooth
Eucalyptus crucis subsp. praecipua,partly or all smooth
