"","species","branches.minnirichi","branches.rough","branches.smooth","no.ribbons.in.branches","ribbons.in.branches","fibrous","main.minnirichi","partly.rough","wholly.rough","wholly.smooth","rough.bark.loose.basal.slabs","rough.bark.box.type","rough.bark.compacted","rough.bark.imperfectly.shed","rough.bark.ironbark","rough.bark.tessellated","partly.or.all.smooth"
"635","Eucalyptus kondininensis",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes","yes",NA,NA,NA,"yes"
"636","Eucalyptus kondininensis subsp. tuberosa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes"
"637","Eucalyptus kruseana",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"638","Eucalyptus kumarlensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"639","Eucalyptus kybeanensis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"640","Eucalyptus lacrimans",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"641","Eucalyptus laeliae",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"642","Eucalyptus lane-poolei",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"643","Eucalyptus langleyi",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"644","Eucalyptus lansdowneana",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"645","Eucalyptus largeana",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"646","Eucalyptus latens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"647","Eucalyptus lateritica",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"648","Eucalyptus lehmanii subsp. parallela",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"649","Eucalyptus lehmannii subsp. lehmannii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"650","Eucalyptus leprophloia",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,"yes",NA,NA,"yes"
"651","Eucalyptus leptocalyx",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"652","Eucalyptus leptophylla",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"653","Eucalyptus leptopoda subsp. arctata",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"654","Eucalyptus leptopoda subsp. elevata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"655","Eucalyptus leptopoda subsp. leptopoda",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"656","Eucalyptus leptopoda subsp. subluta",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"657","Eucalyptus lesouefii",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"658","Eucalyptus leucophloia subsp. euroa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"659","Eucalyptus leucophloia subsp. leucophloia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"660","Eucalyptus leucoxylon subsp. leucoxylon",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"661","Eucalyptus leucoxylon subsp. megalocarpa",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"662","Eucalyptus leucoxylon subsp. pruinosa",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"663","Eucalyptus leucoxylon subsp. stephaniae",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"664","Eucalyptus ligulata subsp. ligulata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"665","Eucalyptus ligulata subsp. stirlingica",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"666","Eucalyptus litoralis",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yes"
"667","Eucalyptus litorea",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes","yes",NA,NA,NA,"yes"
"668","Eucalyptus livida",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"669","Eucalyptus lockyeri subsp. exuta",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes","yes",NA,NA,NA,"yes"
"670","Eucalyptus lockyeri subsp. lockyeri",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"671","Eucalyptus longirostrata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"672","Eucalyptus longissima",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"673","Eucalyptus loxophleba subsp. gratiae",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"674","Eucalyptus loxophleba subsp. lissophloia",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"675","Eucalyptus loxophleba subsp. supralaevis",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"676","Eucalyptus lucasii",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"677","Eucalyptus lucens",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"678","Eucalyptus luculenta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA
"679","Eucalyptus luehmanniana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"680","Eucalyptus luteola",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"681","Eucalyptus macrandra",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"682","Eucalyptus macrocarpa subsp. elachantha",NA,NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"683","Eucalyptus macrocarpa subsp. macrocarpa",NA,NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"684","Eucalyptus major",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"685","Eucalyptus mannensis subsp. mannensis",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,"yes",NA,NA,"yes"
"686","Eucalyptus mannifera subsp. gullickii",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"687","Eucalyptus mannifera subsp. mannifera",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"688","Eucalyptus mannifera subsp. praecox",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"689","Eucalyptus mcquoidii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"690","Eucalyptus medialis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"691","Eucalyptus megacarpa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"692","Eucalyptus megacornuta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"693","Eucalyptus melanophitra",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,"yes",NA,NA,"yes"
"694","Eucalyptus melliodora",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,"yes","yes",NA,"yes",NA,NA,"yes"
"695","Eucalyptus michaeliana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"696","Eucalyptus micranthera",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"697","Eucalyptus microcarpa",NA,NA,"yes","yes","yes",NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"698","Eucalyptus microschema",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"699","Eucalyptus mimica subsp. continens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
