species,bark
Eucalyptus kochii subsp. borealis,rough bark box type
Eucalyptus kochii subsp. kochii,rough bark box type
Eucalyptus kochii subsp. plenissima,rough bark box type
Eucalyptus kochii subsp. yellowdinensis,rough bark box type
Eucalyptus kondininensis,rough bark box type
Eucalyptus kondininensis subsp. tuberosa,rough bark box type
Eucalyptus koolpinensis,rough bark box type
Eucalyptus laevis,rough bark box type
Eucalyptus largeana,rough bark box type
Eucalyptus largiflorens,rough bark box type
Eucalyptus lateritica,rough bark box type
Eucalyptus leprophloia,rough bark box type
Eucalyptus leptophleba,rough bark box type
Eucalyptus leptopoda subsp. arctata,rough bark box type
Eucalyptus leptopoda subsp. leptopoda,rough bark box type
Eucalyptus leptopoda subsp. subluta,rough bark box type
Eucalyptus lesouefii,rough bark box type
Eucalyptus leucophylla,rough bark box type
Eucalyptus leucoxylon subsp. leucoxylon,rough bark box type
Eucalyptus leucoxylon subsp. megalocarpa,rough bark box type
Eucalyptus leucoxylon subsp. pruinosa,rough bark box type
Eucalyptus leucoxylon subsp. stephaniae,rough bark box type
Eucalyptus limitaris,rough bark box type
Eucalyptus lirata,rough bark box type
Eucalyptus litoralis,rough bark box type
Eucalyptus litorea,rough bark box type
Eucalyptus lockyeri subsp. exuta,rough bark box type
Eucalyptus longifolia,rough bark box type
Eucalyptus longissima,rough bark box type
Eucalyptus loxophleba subsp. loxophleba,rough bark box type
Eucalyptus loxophleba subsp. supralaevis,rough bark box type
Eucalyptus lucasii,rough bark box type
Eucalyptus lucens,rough bark box type
Eucalyptus macrandra,rough bark box type
Eucalyptus magnificata,rough bark box type
Eucalyptus malacoxylon,rough bark box type
Eucalyptus mannensis subsp. mannensis,rough bark box type
Eucalyptus mannensis subsp. vespertina,rough bark box type
Eucalyptus medialis,rough bark box type
Eucalyptus melanophitra,rough bark box type
Eucalyptus melanoxylon,rough bark box type
Eucalyptus melliodora,rough bark box type
Eucalyptus merrickiae,rough bark box type
Eucalyptus microcarpa,rough bark box type
Eucalyptus microneura,rough bark box type
Eucalyptus microtheca,rough bark box type
Eucalyptus moderata,rough bark box type
Eucalyptus moluccana,rough bark box type
Eucalyptus morrisii,rough bark box type
Eucalyptus myriadena,rough bark box type
Eucalyptus nigrifunda,rough bark box type
Eucalyptus normantonensis,rough bark box type
Eucalyptus nortonii,rough bark box type
Eucalyptus obconica,rough bark box type
Eucalyptus obtusiflora,rough bark box type
Eucalyptus occidentalis,rough bark box type
Eucalyptus ochrophloia,rough bark box type
Eucalyptus odorata,rough bark box type
Eucalyptus oleosa subsp. corvina,rough bark box type
Eucalyptus oleosa subsp. cylindroidea,rough bark box type
Eucalyptus oleosa subsp. oleosa,rough bark box type
Eucalyptus oligantha,rough bark box type
Eucalyptus oraria,rough bark box type
Eucalyptus orgadophila,rough bark box type
Eucalyptus ovularis,rough bark box type
Eucalyptus pachyphylla,rough bark box type
Eucalyptus patellaris,rough bark box type
Eucalyptus patens,rough bark box type
Eucalyptus persistens subsp. persistens,rough bark box type
Eucalyptus persistens subsp. tardecidens,rough bark box type
Eucalyptus petiolaris,rough bark box type
Eucalyptus petraea,rough bark box type
Eucalyptus polyanthemos subsp. longior,rough bark box type
Eucalyptus polyanthemos subsp. polyanthemos,rough bark box type
Eucalyptus polyanthemos subsp. vestita,rough bark box type
Eucalyptus polybractea,rough bark box type
Eucalyptus populnea,rough bark box type
Eucalyptus porosa,rough bark box type
Eucalyptus prolixa,rough bark box type
Eucalyptus prominens,rough bark box type
Eucalyptus provecta,rough bark box type
Eucalyptus pruiniramis,rough bark box type
Eucalyptus pruinosa subsp. pruinosa,rough bark box type
Eucalyptus pruinosa subsp. tenuata,rough bark box type
Eucalyptus quadrangulata,rough bark box type
Eucalyptus radiata subsp. radiata,rough bark box type
Eucalyptus radiata subsp. robertsonii,rough bark box type
Eucalyptus raveretiana,rough bark box type
Eucalyptus relicta,rough bark box type
Eucalyptus repullulans,rough bark box type
Eucalyptus retinens,rough bark box type
Eucalyptus rodwayi,rough bark box type
Eucalyptus roycei,rough bark box type
Eucalyptus rudderi,rough bark box type
Eucalyptus rudis subsp. cratyantha,rough bark box type
Eucalyptus rudis subsp. rudis,rough bark box type
Eucalyptus rummeryi,rough bark box type
Eucalyptus sargentii subsp. onesia,rough bark box type
Eucalyptus sargentii subsp. sargentii,rough bark box type
Eucalyptus selachiana,rough bark box type
Eucalyptus semota,rough bark box type
Eucalyptus serraensis,rough bark box type
Eucalyptus sessilis,rough bark box type
Eucalyptus similis,rough bark box type
Eucalyptus socialis subsp. socialis,rough bark box type
Eucalyptus socialis subsp. victoriensis,rough bark box type
Eucalyptus socialis subsp. viridans,rough bark box type
Eucalyptus sp. Cockburn,rough bark box type
Eucalyptus sparsa,rough bark box type
Eucalyptus splendens subsp. arcana,rough bark box type
Eucalyptus splendens subsp. splendens,rough bark box type
Eucalyptus striaticalyx,rough bark box type
Eucalyptus stricklandii,rough bark box type
Eucalyptus suberea,rough bark box type
Eucalyptus surgens,rough bark box type
Eucalyptus tectifica,rough bark box type
Eucalyptus tephrodes,rough bark box type
Eucalyptus terrica,rough bark box type
Eucalyptus thamnoides subsp. megista,rough bark box type
Eucalyptus todtiana,rough bark box type
Eucalyptus torquata,rough bark box type
Eucalyptus varia subsp. salsuginosa,rough bark box type
Eucalyptus victoriana,rough bark box type
Eucalyptus viminalis subsp. cygnetensis,rough bark box type
Eucalyptus viridis,rough bark box type
Eucalyptus volcanica,rough bark box type
Eucalyptus woollsiana,rough bark box type
Eucalyptus x balanites,rough bark box type
Eucalyptus x phylacis,rough bark box type
Eucalyptus xerothermica,rough bark box type
Eucalyptus yalatensis,rough bark box type
Eucalyptus yarraensis,rough bark box type
Eucalyptus yilgarnensis,rough bark box type
Eucalyptus zopherophloia,rough bark box type
