species,bark
Eucalyptus deuaensis,wholly smooth
Eucalyptus dielsii,wholly smooth
Eucalyptus diminuta,wholly smooth
Eucalyptus diptera,wholly smooth
Eucalyptus discreta,wholly smooth
Eucalyptus dissimulata,wholly smooth
Eucalyptus distuberosa subsp. aerata,wholly smooth
Eucalyptus distuberosa subsp. distuberosa,wholly smooth
Eucalyptus diversicolor,wholly smooth
Eucalyptus diversifolia subsp. diversifolia,wholly smooth
Eucalyptus dolichorhyncha,wholly smooth
Eucalyptus doratoxylon,wholly smooth
Eucalyptus dorrienii,wholly smooth
Eucalyptus dorrigoensis,wholly smooth
Eucalyptus drummondii,wholly smooth
Eucalyptus dumosa,wholly smooth
Eucalyptus dunnii,wholly smooth
Eucalyptus dwyeri,wholly smooth
Eucalyptus ebbanoensis subsp. ebbanoensis,wholly smooth
Eucalyptus ebbanoensis subsp. photina,wholly smooth
Eucalyptus ecostata,wholly smooth
Eucalyptus elaeophloia,wholly smooth
Eucalyptus elata,wholly smooth
Eucalyptus elliptica,wholly smooth
Eucalyptus erectifolia,wholly smooth
Eucalyptus eremicola subsp. eremicola,wholly smooth
Eucalyptus eremophila,wholly smooth
Eucalyptus erythrandra,wholly smooth
Eucalyptus erythrocorys,wholly smooth
Eucalyptus erythronema subsp. erythronema,wholly smooth
Eucalyptus erythronema subsp. inornata,wholly smooth
Eucalyptus eudesmioides subsp. eudesmioides,wholly smooth
Eucalyptus exigua,wholly smooth
Eucalyptus exilis,wholly smooth
Eucalyptus extensa,wholly smooth
Eucalyptus extrica,wholly smooth
Eucalyptus falcata,wholly smooth
Eucalyptus famelica,wholly smooth
Eucalyptus fasciculosa,wholly smooth
Eucalyptus flavida,wholly smooth
Eucalyptus flindersii,wholly smooth
Eucalyptus flocktoniae subsp. flocktoniae,wholly smooth
Eucalyptus flocktoniae subsp. hebes,wholly smooth
Eucalyptus foliosa,wholly smooth
Eucalyptus forrestiana,wholly smooth
Eucalyptus fraseri subsp. fraseri,wholly smooth
Eucalyptus frenchiana,wholly smooth
Eucalyptus fruticosa,wholly smooth
Eucalyptus gamophylla,wholly smooth
Eucalyptus gardneri subsp. gardneri,wholly smooth
Eucalyptus gardneri subsp. ravensthorpensis,wholly smooth
Eucalyptus georgei subsp. fulgida,wholly smooth
Eucalyptus georgei subsp. georgei,wholly smooth
Eucalyptus gillenii,wholly smooth
Eucalyptus gillii,wholly smooth
Eucalyptus gittinsii subsp. illucida,wholly smooth
Eucalyptus glaucescens,wholly smooth
Eucalyptus glaucina,wholly smooth
Eucalyptus globulus subsp. bicostata,wholly smooth
Eucalyptus globulus subsp. globulus,wholly smooth
Eucalyptus globulus subsp. maidenii,wholly smooth
Eucalyptus globulus subsp. pseudoglobulus,wholly smooth
Eucalyptus glomericassis,wholly smooth
Eucalyptus gongylocarpa,wholly smooth
Eucalyptus goniantha subsp. goniantha,wholly smooth
Eucalyptus goniantha subsp. kynoura,wholly smooth
Eucalyptus goniocalyx subsp. exposa,wholly smooth
Eucalyptus goniocarpa,wholly smooth
Eucalyptus gracilis,wholly smooth
Eucalyptus grandis,wholly smooth
Eucalyptus gregoriensis,wholly smooth
Eucalyptus gregsoniana,wholly smooth
Eucalyptus griffithsii,wholly smooth
Eucalyptus grisea,wholly smooth
Eucalyptus gunnii,wholly smooth
Eucalyptus haemastoma,wholly smooth
Eucalyptus hallii,wholly smooth
Eucalyptus halophila,wholly smooth
