"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"244","Eucalyptus hypolaena",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"245","Eucalyptus insularis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"246","Eucalyptus intertexta",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"247","Eucalyptus johnsoniana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"248","Eucalyptus jucunda",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"249","Eucalyptus kabiana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"250","Eucalyptus kartzoffiana",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"251","Eucalyptus kochii subsp. kochii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"252","Eucalyptus kruseana",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"253","Eucalyptus lansdowneana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"254","Eucalyptus lateritica",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"255","Eucalyptus leprophloia",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"256","Eucalyptus leptopoda subsp. arctata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"257","Eucalyptus leptopoda subsp. leptopoda",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"258","Eucalyptus leptopoda subsp. subluta",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"259","Eucalyptus leucoxylon subsp. leucoxylon",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"260","Eucalyptus leucoxylon subsp. megalocarpa",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"261","Eucalyptus leucoxylon subsp. pruinosa",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"262","Eucalyptus leucoxylon subsp. stephaniae",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"263","Eucalyptus litoralis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"264","Eucalyptus lockyeri subsp. exuta",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"265","Eucalyptus lockyeri subsp. lockyeri",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"266","Eucalyptus longissima",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"267","Eucalyptus loxophleba subsp. supralaevis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"268","Eucalyptus macrandra",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"269","Eucalyptus mannensis subsp. mannensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"270","Eucalyptus melliodora",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"271","Eucalyptus miniata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"272","Eucalyptus misella",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"273","Eucalyptus morrisii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"274","Eucalyptus nandewarica",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"275","Eucalyptus nitida",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"276","Eucalyptus oleosa subsp. corvina",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"277","Eucalyptus oleosa subsp. cylindroidea",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"278","Eucalyptus oleosa subsp. oleosa",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"279","Eucalyptus olsenii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"280","Eucalyptus oraria",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"281","Eucalyptus ovata var. ovata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"282","Eucalyptus oxymitra",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"283","Eucalyptus pachyphylla",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"284","Eucalyptus paludicola",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"285","Eucalyptus peninsularis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"286","Eucalyptus petraea",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"287","Eucalyptus pilularis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"288","Eucalyptus polyanthemos subsp. polyanthemos",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"289","Eucalyptus polybractea",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"290","Eucalyptus prominens",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"291","Eucalyptus pruiniramis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"292","Eucalyptus pulchella",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"293","Eucalyptus quadrans",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"294","Eucalyptus regnans",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"295","Eucalyptus remota",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"296","Eucalyptus repullulans",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"297","Eucalyptus rigidula",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"298","Eucalyptus roycei",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"299","Eucalyptus selachiana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"300","Eucalyptus sieberi",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"301","Eucalyptus socialis subsp. socialis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"302","Eucalyptus socialis subsp. victoriensis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"303","Eucalyptus sparsa",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"304","Eucalyptus stenostoma",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"305","Eucalyptus surgens",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"306","Eucalyptus terrica",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"307","Eucalyptus thamnoides subsp. megista",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"308","Eucalyptus triflora",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"309","Eucalyptus trivalvis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"310","Eucalyptus ultima",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"311","Eucalyptus uncinata",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"312","Eucalyptus varia subsp. salsuginosa",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"313","Eucalyptus verrucata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"314","Eucalyptus victoriana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"315","Eucalyptus viminalis subsp. viminalis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"316","Eucalyptus viridis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"317","Eucalyptus vokesensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"318","Eucalyptus caesia subsp. caesia",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"319","Eucalyptus caesia subsp. magna",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"320","Eucalyptus crucis subsp. crucis",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"321","Eucalyptus crucis subsp. lanceolata",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"322","Eucalyptus educta",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"323","Eucalyptus websteriana",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"324","Corymbia arenaria",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"325","Corymbia arnhemensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"326","Corymbia collina",NA,NA,"shedding",NA,NA,NA,NA,NA
"327","Corymbia ellipsoidea",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"328","Corymbia eremaea",NA,NA,"shedding",NA,NA,NA,NA,NA
"329","Corymbia erythrophloia",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"330","Corymbia foelscheana",NA,NA,"shedding",NA,NA,NA,NA,NA
"331","Corymbia greeniana",NA,NA,"shedding",NA,NA,NA,NA,NA
"332","Corymbia hamersleyana",NA,NA,"shedding",NA,NA,NA,NA,NA
"333","Corymbia latifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"334","Corymbia lenziana",NA,NA,"shedding",NA,NA,NA,NA,NA
"335","Corymbia pocillum",NA,NA,"shedding",NA,NA,NA,NA,NA
"336","Corymbia rhodops",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"337","Corymbia stockeri subsp. peninsularis",NA,NA,"shedding",NA,NA,NA,NA,NA
"338","Corymbia stockeri subsp. stockeri",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"339","Corymbia terminalis",NA,NA,"shedding",NA,NA,NA,NA,NA
"340","Corymbia trachyphloia",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"341","Corymbia umbonata",NA,NA,"shedding",NA,NA,NA,NA,NA
"342","Eucalyptus albens",NA,NA,"shedding",NA,NA,NA,NA,NA
"343","Eucalyptus ancophila",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"344","Eucalyptus baiophylla",NA,NA,"shedding",NA,NA,NA,NA,NA
"345","Eucalyptus beaniana",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"346","Eucalyptus canescens subsp. beadellii",NA,NA,"shedding",NA,NA,NA,NA,NA
"347","Eucalyptus cneorifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"348","Eucalyptus conica",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"349","Eucalyptus coolabah",NA,NA,"shedding",NA,NA,NA,NA,NA
"350","Eucalyptus corynodes",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"351","Eucalyptus crenulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"352","Eucalyptus decolor",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"353","Eucalyptus decorticans",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"354","Eucalyptus dura",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"355","Eucalyptus magnificata",NA,NA,"shedding",NA,NA,NA,NA,NA
"356","Eucalyptus malacoxylon",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"357","Eucalyptus melanoleuca",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"358","Eucalyptus melanophloia subsp. nana",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"359","Eucalyptus oldfieldii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"360","Eucalyptus placita",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"361","Eucalyptus polyanthemos subsp. longior",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"362","Eucalyptus polyanthemos subsp. vestita",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"363","Eucalyptus quadricostata",NA,NA,"shedding",NA,"bark shed from branches only","ribbons in branches",NA,NA
"364","Eucalyptus raveretiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"365","Eucalyptus retinens",NA,NA,"shedding",NA,NA,NA,NA,NA
"366","Eucalyptus semota",NA,NA,"shedding",NA,NA,NA,NA,NA
"367","Eucalyptus taurina",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"368","Eucalyptus tholiformis",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"369","Eucalyptus volcanica",NA,NA,"shedding",NA,NA,NA,NA,NA
"370","Angophora costata subsp. costata",NA,NA,"shedding",NA,NA,NA,NA,NA
"371","Angophora costata subsp. euryphylla",NA,NA,"shedding",NA,NA,NA,NA,NA
"372","Angophora costata subsp. leiocarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"373","Corymbia aparrerinja",NA,NA,"shedding",NA,NA,NA,NA,NA
"374","Corymbia arafurica",NA,NA,"shedding",NA,NA,NA,NA,NA
"375","Corymbia aspera",NA,NA,"shedding",NA,NA,NA,NA,NA
"376","Corymbia bella",NA,NA,"shedding",NA,NA,NA,NA,NA
"377","Corymbia blakei",NA,NA,"shedding",NA,NA,NA,NA,NA
"378","Corymbia bleeseri",NA,NA,"shedding",NA,NA,NA,NA,NA
"379","Corymbia candida",NA,NA,"shedding",NA,NA,NA,NA,NA
"380","Corymbia chippendalei",NA,NA,"shedding",NA,NA,NA,NA,NA
"381","Corymbia citriodora",NA,NA,"shedding",NA,NA,NA,NA,NA
"382","Corymbia clavigera",NA,NA,"shedding",NA,NA,NA,NA,NA
"383","Corymbia confertiflora",NA,NA,"shedding",NA,NA,NA,NA,NA
"384","Corymbia dallachiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"385","Corymbia dendromerinx",NA,NA,"shedding",NA,NA,NA,NA,NA
"386","Corymbia dichromophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"387","Corymbia disjuncta",NA,NA,"shedding",NA,NA,NA,NA,NA
"388","Corymbia ferriticola",NA,NA,"shedding",NA,NA,NA,NA,NA
"389","Corymbia flavescens",NA,NA,"shedding",NA,NA,NA,NA,NA
"390","Corymbia gilbertensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"391","Corymbia grandifolia subsp. grandifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"392","Corymbia grandifolia subsp. lamprocardia",NA,NA,"shedding",NA,NA,NA,NA,NA
"393","Corymbia grandifolia subsp. longa",NA,NA,"shedding",NA,NA,NA,NA,NA
"394","Corymbia henryi",NA,NA,"shedding",NA,NA,NA,NA,NA
"395","Corymbia kombolgiensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"396","Corymbia maculata",NA,NA,"shedding",NA,NA,NA,NA,NA
"397","Corymbia oocarpa",NA,NA,"shedding",NA,NA,NA,NA,NA
"398","Corymbia papuana",NA,NA,"shedding",NA,NA,NA,NA,NA
"399","Corymbia paractia",NA,NA,"shedding",NA,NA,NA,NA,NA
"400","Corymbia pauciseta",NA,NA,"shedding",NA,NA,NA,NA,NA
"401","Corymbia polysciada",NA,NA,"shedding",NA,NA,NA,NA,NA
"402","Corymbia serendipita",NA,NA,"shedding",NA,NA,NA,NA,NA
"403","Corymbia tessellaris",NA,NA,"shedding",NA,NA,NA,NA,NA
"404","Corymbia torelliana",NA,NA,"shedding",NA,NA,NA,NA,NA
"405","Corymbia torta",NA,NA,"shedding",NA,NA,NA,NA,NA
"406","Eucalyptus abdita",NA,NA,"shedding",NA,NA,NA,NA,NA
"407","Eucalyptus accedens",NA,NA,"shedding",NA,NA,NA,NA,NA
"408","Eucalyptus acies",NA,NA,"shedding",NA,NA,NA,NA,NA
"409","Eucalyptus acroleuca",NA,NA,"shedding",NA,NA,NA,NA,NA
"410","Eucalyptus adesmophloia",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"411","Eucalyptus alba var. australasica",NA,NA,"shedding",NA,NA,NA,NA,NA
"412","Eucalyptus albida",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"413","Eucalyptus alipes",NA,NA,"shedding",NA,NA,NA,NA,NA
"414","Eucalyptus amplifolia subsp. amplifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"415","Eucalyptus amplifolia subsp. sessiliflora",NA,NA,"shedding",NA,NA,NA,NA,NA
"416","Eucalyptus angulosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"417","Eucalyptus angustissima",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"418","Eucalyptus annettae",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"419","Eucalyptus annulata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"420","Eucalyptus annuliformis",NA,NA,"shedding",NA,NA,NA,NA,NA
"421","Eucalyptus apiculata",NA,NA,"shedding",NA,NA,NA,NA,NA
"422","Eucalyptus apodophylla",NA,NA,"shedding",NA,NA,NA,NA,NA
"423","Eucalyptus approximans subsp. approximans",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"424","Eucalyptus approximans subsp. codonocarpa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"425","Eucalyptus aquilina",NA,NA,"shedding",NA,NA,NA,NA,NA
"426","Eucalyptus arborella",NA,NA,"shedding",NA,NA,NA,NA,NA
"427","Eucalyptus archeri",NA,NA,"shedding",NA,NA,NA,NA,NA
"428","Eucalyptus argophloia",NA,NA,"shedding",NA,NA,NA,NA,NA
"429","Eucalyptus argutifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"430","Eucalyptus aridimontana",NA,NA,"shedding",NA,NA,NA,NA,NA
"431","Eucalyptus armillata",NA,NA,"shedding",NA,NA,NA,NA,NA
"432","Eucalyptus articulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"433","Eucalyptus aspratilis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"434","Eucalyptus astringens subsp. astringens",NA,NA,"shedding",NA,NA,NA,NA,NA
"435","Eucalyptus astringens subsp. redacta",NA,NA,"shedding",NA,NA,NA,NA,NA
"436","Eucalyptus badjensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"437","Eucalyptus baeuerlenii",NA,NA,"shedding",NA,NA,NA,NA,NA
"438","Eucalyptus bakeri",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"439","Eucalyptus bancroftii",NA,NA,"shedding",NA,NA,NA,NA,NA
"440","Eucalyptus barberi",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"441","Eucalyptus beardiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"442","Eucalyptus behriana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"443","Eucalyptus benthamii",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"444","Eucalyptus bigalerita",NA,NA,"shedding",NA,NA,NA,NA,NA
"445","Eucalyptus blakelyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"446","Eucalyptus blaxellii",NA,NA,"shedding",NA,NA,NA,NA,NA
"447","Eucalyptus bosistoana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"448","Eucalyptus brachyphylla",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"449","Eucalyptus brandiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"450","Eucalyptus brassiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"451","Eucalyptus brevifolia",NA,NA,"shedding",NA,NA,NA,NA,NA
"452","Eucalyptus brockwayi",NA,NA,"shedding",NA,NA,NA,NA,NA
"453","Eucalyptus brookeriana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"454","Eucalyptus broviniensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"455","Eucalyptus buprestium",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"456","Eucalyptus burdettiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"457","Eucalyptus burgessiana",NA,NA,"shedding",NA,NA,NA,NA,NA
"458","Eucalyptus burracoppinensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"459","Eucalyptus calcareana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"460","Eucalyptus calcicola subsp. calcicola",NA,NA,"shedding",NA,NA,NA,NA,NA
"461","Eucalyptus calcicola subsp. unita",NA,NA,"shedding",NA,NA,NA,NA,NA
"462","Eucalyptus calycogona subsp. calycogona",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"463","Eucalyptus calycogona subsp. miraculum",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"464","Eucalyptus calycogona subsp. spaffordii",NA,NA,"shedding",NA,NA,NA,NA,NA
"465","Eucalyptus calycogona subsp. trachybasis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"466","Eucalyptus camaldulensis subsp. acuta",NA,NA,"shedding",NA,NA,NA,NA,NA
"467","Eucalyptus camaldulensis subsp. arida",NA,NA,"shedding",NA,NA,NA,NA,NA
"468","Eucalyptus camaldulensis subsp. camaldulensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"469","Eucalyptus camaldulensis subsp. minima",NA,NA,"shedding",NA,NA,NA,NA,NA
"470","Eucalyptus camaldulensis subsp. obtusa",NA,NA,"shedding",NA,NA,NA,NA,NA
"471","Eucalyptus camaldulensis subsp. refulgens",NA,NA,"shedding",NA,NA,NA,NA,NA
"472","Eucalyptus camaldulensis subsp. simulata",NA,NA,"shedding",NA,NA,NA,NA,NA
"473","Eucalyptus cambageana",NA,NA,"shedding",NA,NA,NA,NA,NA
"474","Eucalyptus campaspe",NA,NA,"shedding",NA,NA,NA,NA,NA
"475","Eucalyptus camphora subsp. camphora",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"476","Eucalyptus camphora subsp. humeana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"477","Eucalyptus canaliculata",NA,NA,"shedding",NA,NA,NA,NA,NA
"478","Eucalyptus canobolensis",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"479","Eucalyptus capillosa subsp. capillosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"480","Eucalyptus capillosa subsp. polyclada",NA,NA,"shedding",NA,NA,NA,NA,NA
"481","Eucalyptus captiosa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"482","Eucalyptus carnabyi",NA,NA,"shedding",NA,NA,NA,NA,NA
"483","Eucalyptus carnei",NA,NA,"shedding",NA,NA,NA,NA,NA
"484","Eucalyptus celastroides subsp. celastroides",NA,NA,"shedding",NA,NA,NA,NA,NA
"485","Eucalyptus celastroides subsp. virella",NA,NA,"shedding",NA,NA,NA,NA,NA
"486","Eucalyptus cerasiformis",NA,NA,"shedding",NA,NA,NA,NA,NA
"487","Eucalyptus cernua",NA,NA,"shedding",NA,NA,NA,NA,NA
"488","Eucalyptus cladocalyx",NA,NA,"shedding",NA,NA,NA,NA,NA
"489","Eucalyptus clivicola",NA,NA,"shedding",NA,NA,NA,NA,NA
"490","Eucalyptus coccifera",NA,NA,"shedding",NA,NA,NA,NA,NA
"491","Eucalyptus conferruminata subsp. conferruminata",NA,NA,"shedding",NA,NA,NA,NA,NA
"492","Eucalyptus conferruminata subsp. recherche",NA,NA,"shedding",NA,NA,NA,NA,NA
"493","Eucalyptus confluens",NA,NA,"shedding",NA,NA,NA,NA,NA
"494","Eucalyptus conglobata subsp. conglobata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"495","Eucalyptus conglobata subsp. perata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"496","Eucalyptus cordata subsp. cordata",NA,NA,"shedding",NA,NA,NA,NA,NA
"497","Eucalyptus cordata subsp. quadrangulosa",NA,NA,"shedding",NA,NA,NA,NA,NA
"498","Eucalyptus coronata",NA,NA,"shedding",NA,NA,NA,NA,NA
"499","Eucalyptus cosmophylla",NA,NA,"shedding",NA,NA,NA,NA,NA
"500","Eucalyptus creta",NA,NA,"shedding",NA,NA,NA,NA,NA
"501","Eucalyptus cretata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"502","Eucalyptus crispata",NA,NA,"shedding",NA,NA,NA,NA,NA
"503","Eucalyptus cunninghamii",NA,NA,"shedding",NA,NA,NA,NA,NA
"504","Eucalyptus cuprea",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"505","Eucalyptus cupularis",NA,NA,"shedding",NA,NA,NA,NA,NA
"506","Eucalyptus curtisii",NA,NA,"shedding",NA,NA,NA,NA,NA
"507","Eucalyptus cyclostoma",NA,NA,"shedding",NA,NA,NA,NA,NA
"508","Eucalyptus cylindriflora",NA,NA,"shedding",NA,NA,NA,NA,NA
"509","Eucalyptus cylindrocarpa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"510","Eucalyptus cypellocarpa",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"511","Eucalyptus dalrympleana subsp. dalrympleana",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"512","Eucalyptus dalrympleana subsp. heptantha",NA,NA,"shedding",NA,NA,NA,NA,NA
"513","Eucalyptus dawsonii",NA,NA,"shedding",NA,NA,NA,NA,NA
"514","Eucalyptus dealbata",NA,NA,"shedding",NA,NA,NA,NA,NA
"515","Eucalyptus deanei",NA,NA,"shedding",NA,NA,NA,NA,NA
"516","Eucalyptus decurva",NA,NA,"shedding",NA,NA,NA,NA,NA
"517","Eucalyptus deflexa",NA,NA,"shedding",NA,NA,NA,NA,NA
"518","Eucalyptus densa subsp. densa",NA,NA,"shedding",NA,NA,NA,NA,NA
"519","Eucalyptus densa subsp. improcera",NA,NA,"shedding",NA,NA,NA,NA,NA
"520","Eucalyptus denticulata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"521","Eucalyptus depauperata",NA,NA,"shedding",NA,NA,NA,NA,NA
"522","Eucalyptus desmondensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"523","Eucalyptus deuaensis",NA,NA,"shedding",NA,NA,NA,NA,NA
"524","Eucalyptus dielsii",NA,NA,"shedding",NA,NA,NA,NA,NA
"525","Eucalyptus diminuta",NA,NA,"shedding",NA,NA,NA,NA,NA
"526","Eucalyptus diptera",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"527","Eucalyptus discreta",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"528","Eucalyptus dissimulata",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
