"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"69","Eucalyptus pellita","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"70","Eucalyptus prominula","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"71","Eucalyptus pruinosa subsp. pruinosa","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"72","Eucalyptus pruinosa subsp. tenuata","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"73","Eucalyptus psammitica","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"74","Eucalyptus relicta","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"75","Eucalyptus resinifera subsp. hemilampra","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"76","Eucalyptus resinifera subsp. resinifera","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"77","Eucalyptus robusta","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"78","Eucalyptus rubiginosa","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"79","Eucalyptus rudderi","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"80","Eucalyptus scias subsp. apoda","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"81","Eucalyptus scias subsp. scias","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"82","Eucalyptus similis","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"83","Eucalyptus sparsifolia","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"84","Eucalyptus sphaerocarpa","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"85","Eucalyptus splendens subsp. arcana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"86","Eucalyptus splendens subsp. splendens","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"87","Eucalyptus staeri","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"88","Eucalyptus tectifica","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"89","Eucalyptus tenella","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"90","Eucalyptus tenuipes","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"91","Eucalyptus tetrodonta","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"92","Eucalyptus tindaliae","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"93","Eucalyptus umbra","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"94","Eucalyptus williamsiana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"95","Eucalyptus crucis subsp. praecipua",NA,"partly fibrous","shedding","bark shed from trunk only",NA,NA,"both fibrous and shedding",NA
"96","Eucalyptus ewartiana",NA,"partly fibrous","shedding","bark shed from trunk only",NA,NA,"both fibrous and shedding",NA
"97","Eucalyptus orbifolia",NA,"partly fibrous","shedding","bark shed from trunk only",NA,NA,"both fibrous and shedding",NA
"98","Corymbia abergiana",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"99","Corymbia ficifolia",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"100","Eucalyptus aggregata",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"101","Eucalyptus alligatrix subsp. alligatrix",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"102","Eucalyptus alligatrix subsp. limaensis",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"103","Eucalyptus andrewsii subsp. andrewsii",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"104","Eucalyptus andrewsii subsp. campanulata",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"105","Eucalyptus arenicola",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"106","Eucalyptus aromaphloia subsp. sabulosa",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"107","Eucalyptus banksii",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"108","Eucalyptus blaxlandii",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"109","Eucalyptus botryoides",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"110","Eucalyptus brachyandra",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"111","Eucalyptus brevipes",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"112","Eucalyptus cadens",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"113","Eucalyptus canescens subsp. canescens",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"114","Eucalyptus cephalocarpa",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"115","Eucalyptus cinerea subsp. triplex",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"116","Eucalyptus cloeziana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"117","Eucalyptus comitae-vallis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"118","Eucalyptus consideniana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"119","Eucalyptus conspicua subsp. conspicua",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"120","Eucalyptus cornuta",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"121","Eucalyptus corticosa",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"122","Eucalyptus croajingolensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"123","Eucalyptus diversifolia subsp. hesperia",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"124","Eucalyptus dives",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"125","Eucalyptus effusa",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"126","Eucalyptus exserta",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"127","Eucalyptus foecunda",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"128","Eucalyptus formanii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"129","Eucalyptus fruticosa",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"130","Eucalyptus fulgens",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"131","Eucalyptus goniocalyx subsp. goniocalyx",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"132","Eucalyptus goniocalyx subsp. viridissima",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"133","Eucalyptus grossa",NA,"partly fibrous",NA,NA,NA,NA,NA,NA
"134","Eucalyptus hypostomatica",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"135","Eucalyptus indurata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"136","Eucalyptus jutsonii subsp. jutsonii",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"137","Eucalyptus kingsmillii subsp. alatissima",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"138","Eucalyptus kingsmillii subsp. kingsmillii",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"139","Eucalyptus kochii subsp. borealis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"140","Eucalyptus kochii subsp. plenissima",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"141","Eucalyptus kochii subsp. yellowdinensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"142","Eucalyptus laevis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"143","Eucalyptus laevopinea",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"144","Eucalyptus longicornis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"145","Eucalyptus longifolia",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"146","Eucalyptus loxophleba subsp. loxophleba",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"147","Eucalyptus macarthurii",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"148","Eucalyptus mannensis subsp. vespertina",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"149","Eucalyptus marginata subsp. elegantella",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"150","Eucalyptus marginata subsp. marginata",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"151","Eucalyptus marginata subsp. thalassica",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"152","Eucalyptus melanoxylon",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"153","Eucalyptus merrickiae",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"154","Eucalyptus microtheca",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"155","Eucalyptus moderata",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"156","Eucalyptus neglecta",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"157","Eucalyptus normantonensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"158","Eucalyptus nortonii",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"159","Eucalyptus nova-anglica",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"160","Eucalyptus obliqua",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"161","Eucalyptus occidentalis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"162","Eucalyptus odorata",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"163","Eucalyptus olida",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"164","Eucalyptus ovularis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"165","Eucalyptus phoenicea",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"166","Eucalyptus piperita subsp. piperita",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"167","Eucalyptus piperita subsp. urceolaris",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"168","Eucalyptus planchoniana",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"169","Eucalyptus platycorys",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"170","Eucalyptus porosa",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"171","Eucalyptus pyrocarpa",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"172","Eucalyptus radiata subsp. radiata",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"173","Eucalyptus radiata subsp. robertsonii",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"174","Eucalyptus radiata subsp. sejuncta",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"175","Eucalyptus rodwayi",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"176","Eucalyptus rudis subsp. cratyantha",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"177","Eucalyptus rudis subsp. rudis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"178","Eucalyptus serraensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"179","Eucalyptus squamosa",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"180","Eucalyptus striaticalyx",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"181","Eucalyptus todtiana",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"182","Eucalyptus viminalis subsp. cygnetensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"183","Eucalyptus viminalis subsp. pryoriana",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"184","Eucalyptus willisii subsp. falciformis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"185","Eucalyptus willisii subsp. willisii",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"186","Eucalyptus wyolensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"187","Eucalyptus yalatensis",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"188","Eucalyptus yarraensis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"189","Eucalyptus youmanii",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"190","Eucalyptus youngiana",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"191","Eucalyptus zopherophloia",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"192","Eucalyptus absita",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"193","Eucalyptus aequioperta",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"194","Eucalyptus albopurpurea",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"195","Eucalyptus alligatrix subsp. miscella",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"196","Eucalyptus ammophila",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"197","Eucalyptus amygdalina",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"198","Eucalyptus angularis",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"199","Eucalyptus arachnaea subsp. arachnaea",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"200","Eucalyptus arachnaea subsp. arrecta",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
