species,bark
Eucalyptus jacksonii,branches rough
Eucalyptus jensenii,branches rough
Eucalyptus jutsonii subsp. jutsonii,branches rough
Eucalyptus jutsonii subsp. kobela,branches rough
Eucalyptus kingsmillii subsp. alatissima,branches rough
Eucalyptus kingsmillii subsp. kingsmillii,branches rough
Eucalyptus kochii subsp. amaryssia,branches rough
Eucalyptus kochii subsp. borealis,branches rough
Eucalyptus kochii subsp. plenissima,branches rough
Eucalyptus kochii subsp. yellowdinensis,branches rough
Eucalyptus koolpinensis,branches rough
Eucalyptus laevis,branches rough
Eucalyptus laevopinea,branches rough
Eucalyptus largiflorens,branches rough
Eucalyptus latisinensis,branches rough
Eucalyptus leptophleba,branches rough
Eucalyptus leucophylla,branches rough
Eucalyptus ligustrina,branches rough
Eucalyptus limitaris,branches rough
Eucalyptus lirata,branches rough
Eucalyptus longicornis,branches rough
Eucalyptus longifolia,branches rough
Eucalyptus loxophleba subsp. loxophleba,branches rough
Eucalyptus macarthurii,branches rough
Eucalyptus mackintii,branches rough
Eucalyptus macrorhyncha subsp. cannonii,branches rough
Eucalyptus macrorhyncha subsp. macrorhyncha,branches rough
Eucalyptus magnificata,branches rough
Eucalyptus malacoxylon,branches rough
Eucalyptus mannensis subsp. vespertina,branches rough
Eucalyptus marginata subsp. elegantella,branches rough
Eucalyptus marginata subsp. marginata,branches rough
Eucalyptus marginata subsp. thalassica,branches rough
Eucalyptus mckieana,branches rough
Eucalyptus mediocris,branches rough
Eucalyptus megasepala,branches rough
Eucalyptus melanoleuca,branches rough
Eucalyptus melanophloia subsp. melanophloia,branches rough
Eucalyptus melanophloia subsp. nana,branches rough
Eucalyptus melanoxylon,branches rough
Eucalyptus merrickiae,branches rough
Eucalyptus microcorys,branches rough
Eucalyptus microneura,branches rough
Eucalyptus microtheca,branches rough
Eucalyptus moderata,branches rough
Eucalyptus muelleriana,branches rough
Eucalyptus neglecta,branches rough
Eucalyptus nicholii,branches rough
Eucalyptus normantonensis,branches rough
Eucalyptus nortonii,branches rough
Eucalyptus notabilis,branches rough
Eucalyptus nova-anglica,branches rough
Eucalyptus obconica,branches rough
Eucalyptus obliqua,branches rough
Eucalyptus occidentalis,branches rough
Eucalyptus odorata,branches rough
Eucalyptus oldfieldii,branches rough
Eucalyptus olida,branches rough
Eucalyptus oligantha,branches rough
Eucalyptus ophitica,branches rough
Eucalyptus ovularis,branches rough
Eucalyptus paedoglauca,branches rough
Eucalyptus panda,branches rough
Eucalyptus paniculata,branches rough
Eucalyptus patellaris,branches rough
Eucalyptus patens,branches rough
Eucalyptus pellita,branches rough
