species,bark
Eucalyptus decipiens,wholly rough
Eucalyptus decolor,wholly rough
Eucalyptus decorticans,wholly rough
Eucalyptus delegatensis subsp. tasmaniensis,wholly rough
Eucalyptus delicata,wholly rough
Eucalyptus distans,wholly rough
Eucalyptus diversifolia subsp. hesperia,wholly rough
Eucalyptus dives,wholly rough
Eucalyptus dolichocera,wholly rough
Eucalyptus dundasii,wholly rough
Eucalyptus dura,wholly rough
Eucalyptus effusa,wholly rough
Eucalyptus eremicola subsp. peeneri,wholly rough
Eucalyptus erosa,wholly rough
Eucalyptus eugenioides,wholly rough
Eucalyptus exilipes,wholly rough
Eucalyptus expressa,wholly rough
Eucalyptus exserta,wholly rough
Eucalyptus farinosa,wholly rough
Eucalyptus fastigata,wholly rough
Eucalyptus fibrosa subsp. fibrosa,wholly rough
Eucalyptus fibrosa subsp. nubila,wholly rough
Eucalyptus foecunda,wholly rough
Eucalyptus formanii,wholly rough
Eucalyptus froggattii,wholly rough
Eucalyptus fruticosa,wholly rough
Eucalyptus fulgens,wholly rough
Eucalyptus fusiformis,wholly rough
Eucalyptus gigantangion,wholly rough
Eucalyptus globoidea,wholly rough
Eucalyptus gomphocephala,wholly rough
Eucalyptus gongylocarpa,wholly rough
Eucalyptus goniocalyx subsp. goniocalyx,wholly rough
Eucalyptus goniocalyx subsp. viridissima,wholly rough
Eucalyptus granitica,wholly rough
Eucalyptus grossa,wholly rough
Eucalyptus guilfoylei,wholly rough
Eucalyptus helidonica,wholly rough
Eucalyptus horistes,wholly rough
Eucalyptus howittiana,wholly rough
Eucalyptus hypostomatica,wholly rough
Eucalyptus ignorabilis,wholly rough
Eucalyptus imitans,wholly rough
Eucalyptus indurata,wholly rough
Eucalyptus intertexta,wholly rough
Eucalyptus jacksonii,wholly rough
Eucalyptus jensenii,wholly rough
Eucalyptus jutsonii subsp. jutsonii,wholly rough
Eucalyptus jutsonii subsp. kobela,wholly rough
Eucalyptus kartzoffiana,wholly rough
Eucalyptus kingsmillii subsp. alatissima,wholly rough
Eucalyptus kingsmillii subsp. kingsmillii,wholly rough
Eucalyptus kochii subsp. amaryssia,wholly rough
Eucalyptus kochii subsp. borealis,wholly rough
Eucalyptus kochii subsp. kochii,wholly rough
Eucalyptus kochii subsp. plenissima,wholly rough
Eucalyptus kochii subsp. yellowdinensis,wholly rough
Eucalyptus kondininensis,wholly rough
Eucalyptus koolpinensis,wholly rough
Eucalyptus laevis,wholly rough
Eucalyptus laevopinea,wholly rough
Eucalyptus largeana,wholly rough
Eucalyptus largiflorens,wholly rough
Eucalyptus latisinensis,wholly rough
Eucalyptus leptophleba,wholly rough
Eucalyptus leucophylla,wholly rough
Eucalyptus ligustrina,wholly rough
Eucalyptus limitaris,wholly rough
Eucalyptus lirata,wholly rough
Eucalyptus litoralis,wholly rough
Eucalyptus litorea,wholly rough
Eucalyptus lockyeri subsp. exuta,wholly rough
Eucalyptus lockyeri subsp. lockyeri,wholly rough
