,BioNet_unassigned,BioNet_assigned,EUCLID_checked,EUCLID_no_match,Modification type,Notes
1321,NA,NA,Absent in NSW,Eucalyptus aspersa,5,Absent in NSW
1331,NA,NA,Absent in NSW,Eucalyptus aspratilis,5,Absent in NSW
1341,NA,NA,Absent in NSW,Eucalyptus astringens subsp. astringens,5,Absent in NSW
1351,NA,NA,Absent in NSW,Eucalyptus astringens subsp. redacta,5,Absent in NSW
1361,NA,NA,Absent in NSW,Eucalyptus atrata,5,Absent in NSW
1371,NA,NA,Absent in NSW,Eucalyptus aurifodina,5,Absent in NSW
1381,NA,NA,Absent in NSW,Eucalyptus baiophylla,5,Absent in NSW
1391,NA,NA,Absent in NSW,Eucalyptus balladoniensis subsp. balladoniensis,5,Absent in NSW
1401,NA,NA,Absent in NSW,Eucalyptus balladoniensis subsp. sedens,5,Absent in NSW
1411,NA,NA,Absent in NSW,Eucalyptus barberi,5,Absent in NSW
1421,NA,NA,Absent in NSW,Eucalyptus baudiniana,5,Absent in NSW
1431,NA,NA,Absent in NSW,Eucalyptus beaniana,5,Absent in NSW
1441,NA,NA,Absent in NSW,Eucalyptus beardiana,5,Absent in NSW
1451,NA,NA,Absent in NSW,Eucalyptus bigalerita,5,Absent in NSW
1461,NA,NA,Absent in NSW,Eucalyptus blaxellii,5,Absent in NSW
1471,NA,NA,Absent in NSW,Eucalyptus brachyandra,5,Absent in NSW
1481,NA,NA,Absent in NSW,Eucalyptus brachycalyx,5,Absent in NSW
1491,NA,NA,Absent in NSW,Eucalyptus brachyphylla,5,Absent in NSW
1501,NA,NA,Absent in NSW,Eucalyptus brandiana,5,Absent in NSW
1511,NA,NA,Absent in NSW,Eucalyptus brassiana,5,Absent in NSW
1521,NA,NA,Absent in NSW,Eucalyptus brevifolia,5,Absent in NSW
1531,NA,NA,Absent in NSW,Eucalyptus brevipes,5,Absent in NSW
1541,NA,NA,Absent in NSW,Eucalyptus brevistylis,5,Absent in NSW
1551,NA,NA,Absent in NSW,Eucalyptus brockwayi,5,Absent in NSW
1561,NA,NA,Absent in NSW,Eucalyptus brookeriana,5,Absent in NSW
1571,NA,NA,Absent in NSW,Eucalyptus broviniensis,5,Absent in NSW
1581,NA,NA,Absent in NSW,Eucalyptus brownii,5,Absent in NSW
1591,NA,NA,Absent in NSW,Eucalyptus buprestium,5,Absent in NSW
1601,NA,NA,Absent in NSW,Eucalyptus burdettiana,5,Absent in NSW
1611,NA,NA,Absent in NSW,Eucalyptus burracoppinensis,5,Absent in NSW
1621,NA,NA,Absent in NSW,Eucalyptus cadens,5,Absent in NSW
1631,NA,NA,Absent in NSW,Eucalyptus caesia subsp. caesia,5,Absent in NSW
1641,NA,NA,Absent in NSW,Eucalyptus caesia subsp. magna,5,Absent in NSW
1651,NA,NA,Absent in NSW,Eucalyptus calcareana,5,Absent in NSW
1661,NA,NA,Absent in NSW,Eucalyptus calcicola subsp. calcicola,5,Absent in NSW
1671,NA,NA,Absent in NSW,Eucalyptus calcicola subsp. unita,5,Absent in NSW
1681,NA,NA,Absent in NSW,Eucalyptus calycogona subsp. calycogona,5,Absent in NSW
1691,NA,NA,Absent in NSW,Eucalyptus calycogona subsp. miraculum,5,Absent in NSW
1701,NA,NA,Absent in NSW,Eucalyptus calycogona subsp. spaffordii,5,Absent in NSW
1711,NA,NA,Match found,Eucalyptus calycogona subsp. trachybasis,"5, 6",Present in NSW; copied to E. calycogona; synonym listed in the APC
1721,NA,NA,Absent in NSW,Eucalyptus calyerup,5,Absent in NSW
1731,NA,NA,NA,Eucalyptus camaldulensis subsp. acuta,"5, 6",Present in NSW; lots of synonyms listed but none present in BioNet data- all with acuminata as the species or subspecies
1741,NA,NA,NA,Eucalyptus camaldulensis subsp. arida,"5, 6",Present in NSW; synonym of E. camaldulensis subsp. subcinerea listed in the APC but it isn't present in the BioNet database
1751,NA,NA,Absent in NSW,Eucalyptus camaldulensis subsp. minima,5,Absent in NSW
1761,NA,NA,Absent in NSW,Eucalyptus camaldulensis subsp. obtusa,5,Absent in NSW
1771,NA,NA,Absent in NSW,Eucalyptus camaldulensis subsp. refulgens,5,Absent in NSW
1781,NA,NA,Absent in NSW,Eucalyptus camaldulensis subsp. simulata,5,Absent in NSW
1791,NA,NA,Absent in NSW,Eucalyptus cambageana,5,Absent in NSW
1801,NA,NA,Absent in NSW,Eucalyptus campaspe,5,Absent in NSW
1811,NA,NA,Absent in NSW,Eucalyptus canescens subsp. beadellii,5,Absent in NSW
1821,NA,NA,Absent in NSW,Eucalyptus canescens subsp. canescens,5,Absent in NSW
1831,NA,NA,Absent in NSW,Eucalyptus capillosa subsp. capillosa,5,Absent in NSW
1841,NA,NA,Absent in NSW,Eucalyptus capillosa subsp. polyclada,5,Absent in NSW
1851,NA,NA,Absent in NSW,Eucalyptus captiosa,5,Absent in NSW
1861,NA,NA,Absent in NSW,Eucalyptus carnabyi,5,Absent in NSW
1871,NA,NA,Absent in NSW,Eucalyptus carnei,5,Absent in NSW
1881,NA,NA,Absent in NSW,Eucalyptus celastroides subsp. celastroides,5,Absent in NSW
1891,NA,NA,Absent in NSW,Eucalyptus celastroides subsp. virella,5,Absent in NSW
1901,NA,NA,NA,Eucalyptus cephalocarpa,5,Present in NSW- rare; lots of synonyms in the APC but none listed in the BioNet database
1911,NA,NA,Absent in NSW,Eucalyptus ceracea,5,Absent in NSW
1921,NA,NA,Absent in NSW,Eucalyptus cerasiformis,5,Absent in NSW
1931,NA,NA,Absent in NSW,Eucalyptus ceratocorys,5,Absent in NSW
1941,NA,NA,Absent in NSW,Eucalyptus cernua,5,Absent in NSW
1951,NA,NA,Absent in NSW,Eucalyptus chartaboma,5,Absent in NSW
1961,NA,NA,Absent in NSW,Eucalyptus chlorophylla,5,Absent in NSW
1971,NA,NA,NA,Eucalyptus cinerea subsp. cinerea,"5, 6",Present in NSW; lots of synonyms in the APC but none listed in the BioNet database; many synonyms match the synonyms of E. cephalocarpa
1981,NA,NA,Match found,Eucalyptus cinerea subsp. triplex,"5, 6",Present in NSW; copied to E. triplex
1991,NA,NA,Absent in NSW,Eucalyptus clelandiorum,"5, 6","absent in NSW; name listed on EUCLID key is not the same as the one listed in the EUCLID fact sheets; correct name was copied into the ""EUCLID_no_match"" column"
2001,NA,NA,Absent in NSW,Eucalyptus clivicola,5,Absent in NSW
2011,NA,NA,Absent in NSW,Eucalyptus cloeziana,5,Absent in NSW
2021,NA,NA,Absent in NSW,Eucalyptus cneorifolia,5,Absent in NSW
2031,NA,NA,Absent in NSW,Eucalyptus coccifera,5,Absent in NSW
2041,NA,NA,Absent in NSW,Eucalyptus comitae-vallis,5,Absent in NSW
2051,NA,NA,Absent in NSW,Eucalyptus concinna,5,Absent in NSW
2061,NA,NA,Absent in NSW,Eucalyptus conferruminata subsp. conferruminata,5,Absent in NSW
2071,NA,NA,Absent in NSW,Eucalyptus conferruminata subsp. recherche,5,Absent in NSW
2081,NA,NA,Absent in NSW,Eucalyptus confluens,5,Absent in NSW
2091,NA,NA,Absent in NSW,Eucalyptus conglobata subsp. conglobata,5,Absent in NSW
2101,NA,NA,Absent in NSW,Eucalyptus conglobata subsp. perata,5,Absent in NSW
2111,NA,NA,Absent in NSW,Eucalyptus conglomerata,5,Absent in NSW
