,BioNet_unassigned,BioNet_assigned,EUCLID_checked,EUCLID_no_match,Modification type,Notes
3731,NA,NA,Absent in NSW,Eucalyptus kruseana,5,Absent in NSW
3741,NA,NA,Absent in NSW,Eucalyptus kumarlensis,5,Absent in NSW
3751,NA,NA,Absent in NSW,Eucalyptus laeliae,5,Absent in NSW
3761,NA,NA,Absent in NSW,Eucalyptus laevis,5,Absent in NSW
3771,NA,NA,Absent in NSW,Eucalyptus lane-poolei,5,Absent in NSW
3781,NA,NA,Absent in NSW,Eucalyptus lansdowneana,5,Absent in NSW
3791,NA,NA,Absent in NSW,Eucalyptus latens,5,Absent in NSW
3801,NA,NA,Absent in NSW,Eucalyptus lateritica,5,Absent in NSW
3811,NA,NA,Absent in NSW,Eucalyptus latisinensis,5,Absent in NSW
3821,NA,NA,Absent in NSW,Eucalyptus lehmanii subsp. parallela,5,Absent in NSW
3831,NA,NA,Absent in NSW,Eucalyptus lehmannii subsp. lehmannii,5,Absent in NSW
3841,NA,NA,Absent in NSW,Eucalyptus leprophloia,5,Absent in NSW
3851,NA,NA,Absent in NSW,Eucalyptus leptocalyx,5,Absent in NSW
3861,NA,NA,Absent in NSW,Eucalyptus leptophleba,5,Absent in NSW
3871,NA,NA,Absent in NSW,Eucalyptus leptopoda subsp. arctata,5,Absent in NSW
3881,NA,NA,Absent in NSW,Eucalyptus leptopoda subsp. elevata,5,Absent in NSW
3891,NA,NA,Absent in NSW,Eucalyptus leptopoda subsp. leptopoda,5,Absent in NSW
3901,NA,NA,Absent in NSW,Eucalyptus leptopoda subsp. subluta,5,Absent in NSW
3911,NA,NA,Absent in NSW,Eucalyptus lesouefii,5,Absent in NSW
3921,NA,NA,Absent in NSW,Eucalyptus leucophloia subsp. euroa,5,Absent in NSW
3931,NA,NA,Absent in NSW,Eucalyptus leucophloia subsp. leucophloia,5,Absent in NSW
3941,NA,NA,Absent in NSW,Eucalyptus leucophylla,5,Absent in NSW
3951,NA,NA,Absent in NSW,Eucalyptus leucoxylon subsp. leucoxylon,5,Absent in NSW
3961,NA,NA,Absent in NSW,Eucalyptus leucoxylon subsp. megalocarpa,5,Absent in NSW
3971,NA,NA,Absent in NSW,Eucalyptus leucoxylon subsp. stephaniae,5,Absent in NSW
3981,NA,NA,Absent in NSW,Eucalyptus ligulata subsp. ligulata,5,Absent in NSW
3991,NA,NA,Absent in NSW,Eucalyptus ligulata subsp. stirlingica,5,Absent in NSW
4001,NA,NA,Absent in NSW,Eucalyptus limitaris,5,Absent in NSW
4011,NA,NA,Absent in NSW,Eucalyptus lirata,5,Absent in NSW
4021,NA,NA,Absent in NSW,Eucalyptus litoralis,5,Absent in NSW
4031,NA,NA,Absent in NSW,Eucalyptus litorea,5,Absent in NSW
4041,NA,NA,Absent in NSW,Eucalyptus livida,5,Absent in NSW
4051,NA,NA,Absent in NSW,Eucalyptus lockyeri subsp. exuta,5,Absent in NSW
4061,NA,NA,Absent in NSW,Eucalyptus lockyeri subsp. lockyeri,5,Absent in NSW
4071,NA,NA,Absent in NSW,Eucalyptus longicornis,5,Absent in NSW
4081,NA,NA,Absent in NSW,Eucalyptus longirostrata,5,Absent in NSW
4091,NA,NA,Absent in NSW,Eucalyptus longissima,5,Absent in NSW
4101,NA,NA,Absent in NSW,Eucalyptus loxophleba subsp. gratiae,5,Absent in NSW
4111,NA,NA,Absent in NSW,Eucalyptus loxophleba subsp. lissophloia,5,Absent in NSW
4121,NA,NA,Absent in NSW,Eucalyptus loxophleba subsp. loxophleba,5,Absent in NSW
4131,NA,NA,Absent in NSW,Eucalyptus loxophleba subsp. supralaevis,5,Absent in NSW
4141,NA,NA,Absent in NSW,Eucalyptus lucasii,5,Absent in NSW
4151,NA,NA,Absent in NSW,Eucalyptus lucens,5,Absent in NSW
4161,NA,NA,Absent in NSW,Eucalyptus luculenta,5,Absent in NSW
4171,NA,NA,Absent in NSW,Eucalyptus luteola,5,Absent in NSW
4181,NA,NA,Absent in NSW,Eucalyptus macrandra,5,Absent in NSW
4191,NA,NA,Absent in NSW,Eucalyptus macrocarpa subsp. elachantha,5,Absent in NSW
420,NA,NA,Absent in NSW,Eucalyptus macrocarpa subsp. macrocarpa,5,Absent in NSW
421,NA,NA,Absent in NSW,Eucalyptus mannensis subsp. mannensis,5,Absent in NSW
422,NA,NA,Absent in NSW,Eucalyptus mannensis subsp. vespertina,5,Absent in NSW
423,NA,NA,Absent in NSW,Eucalyptus marginata subsp. elegantella,5,Absent in NSW
424,NA,NA,Absent in NSW,Eucalyptus marginata subsp. marginata,5,Absent in NSW
425,NA,NA,Absent in NSW,Eucalyptus marginata subsp. thalassica,5,Absent in NSW
426,NA,NA,Absent in NSW,Eucalyptus mcquoidii,5,Absent in NSW
427,NA,NA,Absent in NSW,Eucalyptus medialis,5,Absent in NSW
428,NA,NA,Absent in NSW,Eucalyptus mediocris,5,Absent in NSW
429,NA,NA,Absent in NSW,Eucalyptus megacarpa,5,Absent in NSW
430,NA,NA,Absent in NSW,Eucalyptus megacornuta,5,Absent in NSW
431,NA,NA,Absent in NSW,Eucalyptus megasepala,5,Absent in NSW
432,NA,NA,Absent in NSW,Eucalyptus melanoleuca,5,Absent in NSW
433,NA,NA,Absent in NSW,Eucalyptus melanophitra,5,Absent in NSW
434,NA,NA,Match found,Eucalyptus melanophloia subsp. melanophloia,"5, 6",Present in NSW; copied to E. melanophloia; E. melanophloia accepted in the APC
435,NA,NA,Absent in NSW,Eucalyptus melanophloia subsp. nana,5,Absent in NSW
436,NA,NA,Absent in NSW,Eucalyptus melanoxylon,5,Absent in NSW
437,NA,NA,Absent in NSW,Eucalyptus merrickiae,5,Absent in NSW
438,NA,NA,Absent in NSW,Eucalyptus micranthera,5,Absent in NSW
439,NA,NA,Absent in NSW,Eucalyptus microneura,5,Absent in NSW
440,NA,NA,Absent in NSW,Eucalyptus microschema,5,Absent in NSW
441,NA,NA,Absent in NSW,Eucalyptus mimica subsp. continens,5,Absent in NSW
442,NA,NA,Absent in NSW,Eucalyptus mimica subsp. mimica,5,Absent in NSW
443,NA,NA,Absent in NSW,Eucalyptus miniata,5,Absent in NSW
444,NA,NA,Absent in NSW,Eucalyptus misella,5,Absent in NSW
445,NA,NA,Absent in NSW,Eucalyptus mitchelliana,5,Absent in NSW
446,NA,NA,Absent in NSW,Eucalyptus moderata,5,Absent in NSW
447,NA,NA,Absent in NSW,Eucalyptus mooreana,5,Absent in NSW
448,NA,NA,Match found,Eucalyptus moorei subsp. moorei,"5, 6",Present in NSW; copied to E. latiuscula and E. dissita
449,NA,NA,Match found,Eucalyptus moorei subsp. serpentinicola,"5, 6",Present in NSW; copied to E. serpentinicola 
450,NA,NA,Absent in NSW,Eucalyptus morrisbyi,5,Absent in NSW
451,NA,NA,Absent in NSW,Eucalyptus myriadena,5,Absent in NSW
452,NA,NA,Absent in NSW,Eucalyptus nebulosa,5,Absent in NSW
453,NA,NA,Absent in NSW,Eucalyptus neglecta,5,Absent in NSW
454,NA,NA,Absent in NSW,Eucalyptus neutra,5,Absent in NSW
455,NA,NA,Absent in NSW,Eucalyptus newbeyi,5,Absent in NSW
456,NA,NA,Absent in NSW,Eucalyptus nigrifunda,5,Absent in NSW
457,NA,NA,Absent in NSW,Eucalyptus nitida,5,Absent in NSW
458,NA,NA,Absent in NSW,Eucalyptus normantonensis,5,Absent in NSW
459,NA,NA,Absent in NSW,Eucalyptus notactites,5,Absent in NSW
460,NA,NA,Absent in NSW,Eucalyptus nudicaulis,5,Absent in NSW
461,NA,NA,Absent in NSW,Eucalyptus nutans,5,Absent in NSW
462,NA,NA,Absent in NSW,Eucalyptus obconica,5,Absent in NSW
463,NA,NA,Absent in NSW,Eucalyptus obesa,5,Absent in NSW
464,NA,NA,Absent in NSW,Eucalyptus occidentalis,5,Absent in NSW
465,NA,NA,Absent in NSW,Eucalyptus odontocarpa,5,Absent in NSW
466,NA,NA,Absent in NSW,Eucalyptus odorata,5,Absent in NSW
467,NA,NA,Absent in NSW,Eucalyptus oldfieldii,5,Absent in NSW
468,NA,NA,Absent in NSW,Eucalyptus oleosa subsp. corvina,5,Absent in NSW
469,NA,NA,Absent in NSW,Eucalyptus oleosa subsp. cylindroidea,5,Absent in NSW
470,NA,NA,Absent in NSW,Eucalyptus oligantha,5,Absent in NSW
471,NA,NA,Absent in NSW,Eucalyptus olivina,5,Absent in NSW
472,NA,NA,Absent in NSW,Eucalyptus opimiflora,5,Absent in NSW
473,NA,NA,Absent in NSW,Eucalyptus optima,5,Absent in NSW
474,NA,NA,Absent in NSW,Eucalyptus oraria,5,Absent in NSW
475,NA,NA,Absent in NSW,Eucalyptus orbifolia,5,Absent in NSW
476,NA,NA,Absent in NSW,Eucalyptus ordiana,5,Absent in NSW
477,NA,NA,Absent in NSW,Eucalyptus orgadophila,5,Absent in NSW
478,NA,NA,Absent in NSW,Eucalyptus ornata,5,Absent in NSW
479,NA,NA,Absent in NSW,Eucalyptus orthostemon,5,Absent in NSW
480,NA,NA,Absent in NSW,Eucalyptus ovata var. grandiflora,5,Absent in NSW
481,NA,NA,Match found,Eucalyptus ovata subsp. ovata,"5, 6","Present in NSW; name listed on EUCLID key is not the same as the one listed in the EUCLID fact sheets; correct name was copied into the ""EUCLID_no_match"" column; copied to the two rows of E. paludosa"
482,NA,NA,Absent in NSW,Eucalyptus ovularis,5,Absent in NSW
483,NA,NA,Absent in NSW,Eucalyptus oxymitra,5,Absent in NSW
484,NA,NA,Absent in NSW,Eucalyptus pachycalyx subsp. pachycalyx,5,Absent in NSW
485,NA,NA,Match found,Eucalyptus pachycalyx subsp. waajensis,"5, 6",Present in NSW; copied to E. pachycalyx subsp. banyabba
486,NA,NA,Absent in NSW,Eucalyptus pachyloma,5,Absent in NSW
487,NA,NA,Absent in NSW,Eucalyptus pachyphylla,5,Absent in NSW
488,NA,NA,Absent in NSW,Eucalyptus paedoglauca,5,Absent in NSW
489,NA,NA,Absent in NSW,Eucalyptus paludicola,5,Absent in NSW
490,NA,NA,Absent in NSW,Eucalyptus pantoleuca,5,Absent in NSW
491,NA,NA,No match,Eucalyptus parramattensis var. sphaerocalyx,"5, 6",Present in NSW- rare; E. parramattensis subsp. parramattensis and E. parramattensis listed as synonyms so E. parramattensis subsp. parramattensis copied to E. parramattensis but this species was removed from consideration because the bark traits are the same
492,NA,NA,Absent in NSW,Eucalyptus patellaris,5,Absent in NSW
493,NA,NA,Absent in NSW,Eucalyptus patens,5,Absent in NSW
494,NA,NA,Absent in NSW,Eucalyptus pauciflora subsp. acerina,5,Absent in NSW
495,NA,NA,Absent in NSW,Eucalyptus pauciflora subsp. hedraia,5,Absent in NSW
496,NA,NA,Absent in NSW,Eucalyptus pendens,5,Absent in NSW
497,NA,NA,Absent in NSW,Eucalyptus peninsularis,5,Absent in NSW
498,NA,NA,Absent in NSW,Eucalyptus perangusta,5,Absent in NSW
499,NA,NA,Absent in NSW,Eucalyptus percostata,5,Absent in NSW
500,NA,NA,Absent in NSW,Eucalyptus persistens subsp. persistens,5,Absent in NSW
501,NA,NA,Absent in NSW,Eucalyptus persistens subsp. tardecidens,5,Absent in NSW
502,NA,NA,Absent in NSW,Eucalyptus petiolaris,5,Absent in NSW
503,NA,NA,Absent in NSW,Eucalyptus petraea,5,Absent in NSW
504,NA,NA,Absent in NSW,Eucalyptus petrensis,5,Absent in NSW
505,NA,NA,Absent in NSW,Eucalyptus phaenophylla subsp. interjacens,5,Absent in NSW
506,NA,NA,Absent in NSW,Eucalyptus phaenophylla subsp. phaenophylla,5,Absent in NSW
507,NA,NA,Absent in NSW,Eucalyptus phenax subsp. compressa,5,Absent in NSW
508,NA,NA,Absent in NSW,Eucalyptus phenax subsp. phenax,5,Absent in NSW
509,NA,NA,Absent in NSW,Eucalyptus phoenicea,5,Absent in NSW
510,NA,NA,Absent in NSW,Eucalyptus pilbarensis,5,Absent in NSW
511,NA,NA,Absent in NSW,Eucalyptus pileata,5,Absent in NSW
512,NA,NA,Absent in NSW,Eucalyptus pimpiniana,5,Absent in NSW
513,NA,NA,Absent in NSW,Eucalyptus platycorys,5,Absent in NSW
514,NA,NA,Absent in NSW,Eucalyptus platydisca,5,Absent in NSW
515,NA,NA,Absent in NSW,Eucalyptus platyphylla,5,Absent in NSW
516,NA,NA,Absent in NSW,Eucalyptus platypus subsp. congregata,5,Absent in NSW
517,NA,NA,Absent in NSW,Eucalyptus platypus subsp. platypus,5,Absent in NSW
518,NA,NA,Absent in NSW,Eucalyptus pleurocarpa,5,Absent in NSW
519,NA,NA,Absent in NSW,Eucalyptus pluricaulis subsp. pluricaulis,5,Absent in NSW
520,NA,NA,Absent in NSW,Eucalyptus pluricaulis subsp. porphyrea,5,Absent in NSW
521,NA,NA,Absent in NSW,Eucalyptus polita,5,Absent in NSW
522,NA,NA,NA,Eucalyptus polyanthemos subsp. longior,5,Present in NSW- rare; no synonyms listed
523,NA,NA,Absent in NSW,Eucalyptus praetermissa,5,Absent in NSW
524,NA,NA,Absent in NSW,Eucalyptus preissiana subsp. lobata,5,Absent in NSW
525,NA,NA,Absent in NSW,Eucalyptus preissiana subsp. preissiana,5,Absent in NSW
526,NA,NA,Absent in NSW,Eucalyptus prolixa,5,Absent in NSW
527,NA,NA,Absent in NSW,Eucalyptus prominens,5,Absent in NSW
528,NA,NA,Absent in NSW,Eucalyptus protensa,5,Absent in NSW
529,NA,NA,Absent in NSW,Eucalyptus provecta,5,Absent in NSW
530,NA,NA,Absent in NSW,Eucalyptus proxima,5,Absent in NSW
531,NA,NA,Absent in NSW,Eucalyptus pruiniramis,5,Absent in NSW
532,NA,NA,Absent in NSW,Eucalyptus pruinosa subsp. pruinosa,5,Absent in NSW
533,NA,NA,Absent in NSW,Eucalyptus pruinosa subsp. tenuata,5,Absent in NSW
534,NA,NA,Absent in NSW,Eucalyptus pterocarpa,5,Absent in NSW
535,NA,NA,Absent in NSW,Eucalyptus pulchella,5,Absent in NSW
536,NA,NA,Absent in NSW,Eucalyptus purpurata,5,Absent in NSW
537,NA,NA,Absent in NSW,Eucalyptus pyriformis,5,Absent in NSW
538,NA,NA,Absent in NSW,Eucalyptus quadrans,5,Absent in NSW
539,NA,NA,Absent in NSW,Eucalyptus quadricostata,5,Absent in NSW
540,NA,NA,Absent in NSW,Eucalyptus quaerenda,5,Absent in NSW
541,NA,NA,Absent in NSW,Eucalyptus rameliana,5,Absent in NSW
542,NA,NA,Absent in NSW,Eucalyptus raveretiana,5,Absent in NSW
543,NA,NA,Absent in NSW,Eucalyptus ravida,5,Absent in NSW
544,NA,NA,Absent in NSW,Eucalyptus recta,5,Absent in NSW
545,NA,NA,Absent in NSW,Eucalyptus redunca,5,Absent in NSW
546,NA,NA,Absent in NSW,Eucalyptus regnans,5,Absent in NSW
547,NA,NA,Absent in NSW,Eucalyptus relicta,5,Absent in NSW
548,NA,NA,Absent in NSW,Eucalyptus remota,5,Absent in NSW
549,NA,NA,Absent in NSW,Eucalyptus repullulans,5,Absent in NSW
550,NA,NA,Absent in NSW,Eucalyptus retusa,5,Absent in NSW
551,NA,NA,Absent in NSW,Eucalyptus rhodantha,5,Absent in NSW
552,NA,NA,Absent in NSW,Eucalyptus rhombica,5,Absent in NSW
553,NA,NA,Absent in NSW,Eucalyptus rhomboidea,5,Absent in NSW
554,NA,NA,Absent in NSW,Eucalyptus rigens,5,Absent in NSW
555,NA,NA,Absent in NSW,Eucalyptus rigidula,5,Absent in NSW
556,NA,NA,Absent in NSW,Eucalyptus risdonii,5,Absent in NSW
557,NA,NA,Absent in NSW,Eucalyptus rodwayi,5,Absent in NSW
558,NA,NA,Absent in NSW,Eucalyptus rosacea,5,Absent in NSW
559,NA,NA,Absent in NSW,Eucalyptus rowleyi,5,Absent in NSW
560,NA,NA,Absent in NSW,Eucalyptus roycei,5,Absent in NSW
561,NA,NA,Absent in NSW,Eucalyptus rubiginosa,5,Absent in NSW
562,NA,NA,Absent in NSW,Eucalyptus rudis subsp. cratyantha,5,Absent in NSW
563,NA,NA,Absent in NSW,Eucalyptus rudis subsp. rudis,5,Absent in NSW
564,NA,NA,Absent in NSW,Eucalyptus rugosa,5,Absent in NSW
565,NA,NA,Absent in NSW,Eucalyptus rugulata,5,Absent in NSW
566,NA,NA,Absent in NSW,Eucalyptus rupestris,5,Absent in NSW
567,NA,NA,Absent in NSW,Eucalyptus salicola,5,Absent in NSW
568,NA,NA,Absent in NSW,Eucalyptus salmonophloia,5,Absent in NSW
569,NA,NA,Absent in NSW,Eucalyptus salubris,5,Absent in NSW
570,NA,NA,Absent in NSW,Eucalyptus sargentii subsp. onesia,5,Absent in NSW
571,NA,NA,Absent in NSW,Eucalyptus sargentii subsp. sargentii,5,Absent in NSW
572,NA,NA,NA,Eucalyptus scopulorum,5,Present in NSW- rare; no synonyms listed
573,NA,NA,Absent in NSW,Eucalyptus selachiana,5,Absent in NSW
574,NA,NA,Absent in NSW,Eucalyptus semiglobosa,5,Absent in NSW
575,NA,NA,Absent in NSW,Eucalyptus semota,5,Absent in NSW
576,NA,NA,Absent in NSW,Eucalyptus sepulcralis,5,Absent in NSW
577,NA,NA,Absent in NSW,Eucalyptus serraensis,5,Absent in NSW
578,NA,NA,Absent in NSW,Eucalyptus sessilis,5,Absent in NSW
579,NA,NA,Absent in NSW,Eucalyptus sheathiana,5,Absent in NSW
580,NA,NA,Absent in NSW,Eucalyptus shirleyi,5,Absent in NSW
581,NA,NA,Absent in NSW,Eucalyptus sicilifolia,5,Absent in NSW
582,NA,NA,Absent in NSW,Eucalyptus similis,5,Absent in NSW
583,NA,NA,Absent in NSW,Eucalyptus singularis,5,Absent in NSW
584,NA,NA,Absent in NSW,Eucalyptus sinuosa,5,Absent in NSW
585,NA,NA,Match found,Eucalyptus socialis subsp. socialis,"5, 6",Present in NSW; copied to E. socialis because both have E. turbinata listed as a synonym in the APC
586,NA,NA,Absent in NSW,Eucalyptus socialis subsp. victoriensis,5,Absent in NSW
587,NA,NA,Absent in NSW,Eucalyptus socialis subsp. viridans,5,Absent in NSW
588,NA,NA,Absent in NSW,Eucalyptus sp. Cockburn,5,Absent in NSW
589,NA,NA,Match found,Eucalyptus sp. Dorsiventralis,"5, 6",Present in NSW; copied to E. fergusonii subsp. dorsiventralis
590,NA,NA,Absent in NSW,Eucalyptus sp. Kalbarri,5,Absent in NSW
591,NA,NA,Absent in NSW,Eucalyptus sp. Southern Wheatbelt,5,Absent in NSW
592,NA,NA,Absent in NSW,Eucalyptus sp. Undulans,5,Absent in NSW
593,NA,NA,Absent in NSW,Eucalyptus sparsa,5,Absent in NSW
594,NA,NA,Absent in NSW,Eucalyptus spathulata subsp. salina,5,Absent in NSW
595,NA,NA,Absent in NSW,Eucalyptus spathulata subsp. spathulata,5,Absent in NSW
596,NA,NA,Absent in NSW,Eucalyptus sphaerocarpa,5,Absent in NSW
597,NA,NA,Absent in NSW,Eucalyptus splendens subsp. arcana,5,Absent in NSW
598,NA,NA,Absent in NSW,Eucalyptus splendens subsp. splendens,5,Absent in NSW
599,NA,NA,Absent in NSW,Eucalyptus sporadica,5,Absent in NSW
600,NA,NA,Absent in NSW,Eucalyptus spreta,5,Absent in NSW
601,NA,NA,Absent in NSW,Eucalyptus staeri,5,Absent in NSW
602,NA,NA,Absent in NSW,Eucalyptus staigeriana,5,Absent in NSW
603,NA,NA,Absent in NSW,Eucalyptus steedmanii,5,Absent in NSW
604,NA,NA,Absent in NSW,Eucalyptus stoatei,5,Absent in NSW
605,NA,NA,Absent in NSW,Eucalyptus stowardii,5,Absent in NSW
606,NA,NA,Absent in NSW,Eucalyptus striaticalyx,5,Absent in NSW
607,NA,NA,Absent in NSW,Eucalyptus stricklandii,5,Absent in NSW
608,NA,NA,Absent in NSW,Eucalyptus strzeleckii,5,Absent in NSW
609,NA,NA,Absent in NSW,Eucalyptus subangusta subsp. cerina,5,Absent in NSW
610,NA,NA,Absent in NSW,Eucalyptus subangusta subsp. pusilla,5,Absent in NSW
611,NA,NA,Absent in NSW,Eucalyptus subangusta subsp. subangusta,5,Absent in NSW
612,NA,NA,Absent in NSW,Eucalyptus subangusta subsp. virescens,5,Absent in NSW
613,NA,NA,Absent in NSW,Eucalyptus subcrenulata,5,Absent in NSW
614,NA,NA,Absent in NSW,Eucalyptus suberea,5,Absent in NSW
615,NA,NA,Absent in NSW,Eucalyptus subtilis,5,Absent in NSW
616,NA,NA,Absent in NSW,Eucalyptus suffulgens,5,Absent in NSW
617,NA,NA,Absent in NSW,Eucalyptus suggrandis subsp. promiscua,5,Absent in NSW
618,NA,NA,Absent in NSW,Eucalyptus suggrandis subsp. suggrandis,5,Absent in NSW
619,NA,NA,Absent in NSW,Eucalyptus surgens,5,Absent in NSW
620,NA,NA,Absent in NSW,Eucalyptus sweedmaniana,5,Absent in NSW
621,NA,NA,Absent in NSW,Eucalyptus synandra,5,Absent in NSW
622,NA,NA,Absent in NSW,Eucalyptus talyuberlup,5,Absent in NSW
623,NA,NA,Absent in NSW,Eucalyptus taurina,5,Absent in NSW
624,NA,NA,Absent in NSW,Eucalyptus tectifica,5,Absent in NSW
625,NA,NA,Absent in NSW,Eucalyptus tenera,5,Absent in NSW
626,NA,NA,Absent in NSW,Eucalyptus tenuipes,5,Absent in NSW
627,NA,NA,Absent in NSW,Eucalyptus tenuiramis,5,Absent in NSW
628,NA,NA,Absent in NSW,Eucalyptus tenuis,5,Absent in NSW
629,NA,NA,Absent in NSW,Eucalyptus tephroclada,5,Absent in NSW
630,NA,NA,Absent in NSW,Eucalyptus tephrodes,5,Absent in NSW
631,NA,NA,Absent in NSW,Eucalyptus terebra,5,Absent in NSW
632,NA,NA,NA,Eucalyptus tereticornis subsp. basaltica,"5, 6",Present in NSW; other E. tereticornis subspecies are listed as synonyms but none are in BioNet
633,NA,NA,Absent in NSW,Eucalyptus tereticornis subsp. mediana,5,Absent in NSW
634,NA,NA,Absent in NSW,Eucalyptus tereticornis subsp. rotunda,5,Absent in NSW
635,NA,NA,Absent in NSW,Eucalyptus terrica,5,Absent in NSW
636,NA,NA,Absent in NSW,Eucalyptus tetraptera,5,Absent in NSW
637,NA,NA,Absent in NSW,Eucalyptus tetrodonta,5,Absent in NSW
638,NA,NA,Absent in NSW,Eucalyptus thamnoides subsp. megista,5,Absent in NSW
639,NA,NA,Absent in NSW,Eucalyptus thamnoides subsp. thamnoides,5,Absent in NSW
640,NA,NA,Absent in NSW,Eucalyptus tholiformis,5,Absent in NSW
641,NA,NA,Absent in NSW,Eucalyptus thozetiana,5,Absent in NSW
642,NA,NA,Absent in NSW,Eucalyptus tintinnans,5,Absent in NSW
643,NA,NA,Absent in NSW,Eucalyptus todtiana,5,Absent in NSW
644,NA,NA,Absent in NSW,Eucalyptus torquata,5,Absent in NSW
645,NA,NA,Absent in NSW,Eucalyptus tortilis,5,Absent in NSW
646,NA,NA,Absent in NSW,Eucalyptus transcontinentalis,5,Absent in NSW
647,NA,NA,Absent in NSW,Eucalyptus trivalva,"5, 6","Absent in NSW; name listed on EUCLID key is not the same as the one listed in the EUCLID fact sheets; correct name was copied into the ""EUCLID_no_match"" column"
648,NA,NA,Absent in NSW,Eucalyptus tumida,5,Absent in NSW
649,NA,NA,Absent in NSW,Eucalyptus ultima,5,Absent in NSW
650,NA,NA,Absent in NSW,Eucalyptus umbrawarrensis,5,Absent in NSW
651,NA,NA,Absent in NSW,Eucalyptus uncinata,5,Absent in NSW
652,NA,NA,Absent in NSW,Eucalyptus urna,5,Absent in NSW
653,NA,NA,Absent in NSW,Eucalyptus urnigera,5,Absent in NSW
654,NA,NA,Absent in NSW,Eucalyptus utilis,5,Absent in NSW
655,NA,NA,Absent in NSW,Eucalyptus valens,5,Absent in NSW
656,NA,NA,Absent in NSW,Eucalyptus varia subsp. salsuginosa,5,Absent in NSW
657,NA,NA,Absent in NSW,Eucalyptus varia subsp. varia,5,Absent in NSW
658,NA,NA,Absent in NSW,Eucalyptus vegrandis subsp. recondita,5,Absent in NSW
659,NA,NA,Absent in NSW,Eucalyptus vegrandis subsp. vegrandis,5,Absent in NSW
660,NA,NA,Absent in NSW,Eucalyptus vernicosa,5,Absent in NSW
661,NA,NA,Absent in NSW,Eucalyptus verrucata,5,Absent in NSW
662,NA,NA,Absent in NSW,Eucalyptus vesiculosa,5,Absent in NSW
663,NA,NA,Absent in NSW,Eucalyptus victoriana,5,Absent in NSW
664,NA,NA,Absent in NSW,Eucalyptus victrix,5,Absent in NSW
665,NA,NA,Absent in NSW,Eucalyptus viminalis subsp. cygnetensis,5,Absent in NSW
666,NA,NA,Absent in NSW,Eucalyptus viminalis subsp. hentyensis,5,Absent in NSW
667,NA,NA,Absent in NSW,Eucalyptus viminalis subsp. pryoriana,5,Absent in NSW
668,NA,NA,Absent in NSW,Eucalyptus virens,5,Absent in NSW
669,NA,NA,Absent in NSW,Eucalyptus virginea,5,Absent in NSW
670,NA,NA,Absent in NSW,Eucalyptus vittata,5,Absent in NSW
671,NA,NA,Absent in NSW,Eucalyptus vokesensis,5,Absent in NSW
672,NA,NA,Absent in NSW,Eucalyptus wandoo subsp. pulverea,5,Absent in NSW
673,NA,NA,Absent in NSW,Eucalyptus wandoo subsp. wandoo,5,Absent in NSW
674,NA,NA,Absent in NSW,Eucalyptus websteriana,5,Absent in NSW
675,NA,NA,Absent in NSW,Eucalyptus whitei,5,Absent in NSW
676,NA,NA,Absent in NSW,Eucalyptus willisii subsp. falciformis,5,Absent in NSW
677,NA,NA,Absent in NSW,Eucalyptus willisii subsp. willisii,5,Absent in NSW
678,NA,NA,Absent in NSW,Eucalyptus woodwardii,5,Absent in NSW
679,NA,NA,Match found,Eucalyptus woollsiana,"5, 6",Present in NSW; copied to E. pilligaensis
680,NA,NA,Absent in NSW,Eucalyptus wubinensis,5,Absent in NSW
681,NA,NA,Absent in NSW,Eucalyptus wyolensis,5,Absent in NSW
682,NA,NA,Absent in NSW,Eucalyptus x balanites,5,Absent in NSW
683,NA,NA,Absent in NSW,Eucalyptus x balanopelex,5,Absent in NSW
684,NA,NA,Absent in NSW,Eucalyptus x missilis,5,Absent in NSW
685,NA,NA,Absent in NSW,Eucalyptus x phylacis,5,Absent in NSW
686,NA,NA,Absent in NSW,Eucalyptus xanthonema subsp. apposita,5,Absent in NSW
687,NA,NA,Absent in NSW,Eucalyptus xanthonema subsp. xanthonema,5,Absent in NSW
688,NA,NA,Absent in NSW,Eucalyptus xerothermica,5,Absent in NSW
689,NA,NA,Absent in NSW,Eucalyptus yalatensis,5,Absent in NSW
690,NA,NA,Absent in NSW,Eucalyptus yarraensis,5,Absent in NSW
691,NA,NA,Absent in NSW,Eucalyptus yilgarnensis,5,Absent in NSW
692,NA,NA,Absent in NSW,Eucalyptus youngiana,5,Absent in NSW
693,NA,NA,Absent in NSW,Eucalyptus yumbarrana,5,Absent in NSW
694,NA,NA,Absent in NSW,Eucalyptus zopherophloia,5,Absent in NSW
