Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Corymbia tessellaris,APC,Corymbia tessellaris (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia tessellaris,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,tessellaris,,tessellaris,,,,
TRUE,Corymbia torelliana,APC,Corymbia torelliana (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia torelliana,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,torelliana,,torelliana,,,,
TRUE,Corymbia trachyphloia,APC,Corymbia trachyphloia (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia trachyphloia,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,trachyphloia,,trachyphloia,,,,
TRUE,Corymbia trachyphloia subsp. amphistomatica,,Corymbia trachyphloia subsp. amphistomatica K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia trachyphloia subsp. amphistomatica,K.D.Hill & L.A.S.Johnson,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Corymbia,trachyphloia,amphistomatica,amphistomatica,,,,
TRUE,Corymbia trachyphloia subsp. trachyphloia,,Corymbia trachyphloia (F.Muell.) K.D.Hill & L.A.S.Johnson subsp. trachyphloia,legitimate,autonym,[],Corymbia trachyphloia subsp. trachyphloia,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Corymbia,trachyphloia,trachyphloia,trachyphloia,,,,
TRUE,Corymbia tumescens,,Corymbia tumescens K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia tumescens,K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,tumescens,,tumescens,,,,
TRUE,Corymbia variegata,,Corymbia variegata (F.Muell.) K.D.Hill & L.A.S.Johnson,legitimate,scientific,[],Corymbia variegata,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,190,sp.,Plantae,,,Myrtaceae,Corymbia,variegata,,variegata,,,,
TRUE,Eucalyptus acaciiformis,APC,Eucalyptus acaciiformis H.Deane & Maiden,legitimate,scientific,[],Eucalyptus acaciiformis,H.Deane & Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,acaciiformis,,acaciiformis,,,,
TRUE,Eucalyptus acmenoides,APC,Eucalyptus acmenoides Schauer,legitimate,scientific,[],Eucalyptus acmenoides,Schauer,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,acmenoides,,acmenoides,,,,
TRUE,Eucalyptus aenea,,Eucalyptus aenea K.D.Hill,legitimate,scientific,[],Eucalyptus aenea,K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,aenea,,aenea,,,,
