species,whole bark description
Corymbia gummifera,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia haematoxylon,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia hamersleyana,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia hendersonii,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia henryi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia hylandii,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia intermedia,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia jacobsiana,"branches rough, no ribbons in branches, fibrous, wholly rough"
Corymbia kombolgiensis,"branches smooth, no ribbons in branches, partly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia lamprophylla,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia latifolia,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia leichhardtii,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia lenziana,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia leptoloma,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia ligans,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia maculata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia nesophila,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Corymbia novoguinensis,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia oocarpa,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia pachycarpa,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia papillosa,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia papuana,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia paractia,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia pauciseta,"branches smooth, no ribbons in branches, partly rough, rough bark tessellated, partly or all smooth"
Corymbia peltata,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia petalophylla,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia plena,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia pocillum,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia polycarpa,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia polysciada,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia porrecta,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia ptychocarpa subsp. aptycha,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Corymbia ptychocarpa subsp. ptychocarpa,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Corymbia rhodops,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia scabrida,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia serendipita,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia setosa,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia sphaerica,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia stockeri subsp. peninsularis,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia stockeri subsp. stockeri,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia terminalis,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia tessellaris,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia torelliana,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, rough bark tessellated, partly or all smooth"
Corymbia torta,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia trachyphloia,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia umbonata,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia watsoniana subsp. capillata,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia watsoniana subsp. watsoniana,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia xanthope,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia zygophylla,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Eucalyptus abdita,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus absita,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus acaciiformis,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus accedens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus acies,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus acmenoides,"branches rough, no ribbons in branches, fibrous, wholly rough"
