species,whole bark description
Eucalyptus cernua,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus chapmaniana,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus chartaboma,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Eucalyptus chloroclada,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus chlorophylla,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus cinerea subsp. cinerea,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus cinerea subsp. triplex,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough"
Eucalyptus cladocalyx,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus clelandii,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus clivicola,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus cloeziana,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus cneorifolia,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark compacted, partly or all smooth"
Eucalyptus coccifera,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus comitae-vallis,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus concinna,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus conferruminata subsp. conferruminata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus conferruminata subsp. recherche,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus confluens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus conglobata subsp. conglobata,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus conglobata subsp. perata,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus conglomerata,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus conica,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus consideniana,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus conspicua subsp. conspicua,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus conspicua subsp. dispar,"branches rough, fibrous, wholly rough"
Eucalyptus conveniens,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus coolabah,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus cooperiana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus cordata subsp. cordata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cordata subsp. quadrangulosa,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus cornuta,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark compacted, rough bark imperfectly shed, partly or all smooth"
Eucalyptus coronata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus corrugata,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus corticosa,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Eucalyptus corynodes,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus cosmophylla,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus crebra,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus crenulata,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark compacted, partly or all smooth"
Eucalyptus creta,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cretata,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus crispata,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus croajingolensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus crucis subsp. crucis,"branches minnirichi, no ribbons in branches, main minnirichi, partly or all smooth"
Eucalyptus crucis subsp. lanceolata,"branches minnirichi, no ribbons in branches, main minnirichi, partly or all smooth"
Eucalyptus crucis subsp. praecipua,"branches minnirichi, branches rough, no ribbons in branches, fibrous, wholly rough, partly or all smooth"
Eucalyptus cullenii,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus cunninghamii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cuprea,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus cupularis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus curtisii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cyanophylla,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus cyclostoma,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cylindriflora,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus cylindrocarpa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus cypellocarpa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus dalrympleana subsp. dalrympleana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus dalrympleana subsp. heptantha,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus dawsonii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus dealbata,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus deanei,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus decipiens,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus decolor,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus decorticans,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus decurva,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus deflexa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus delegatensis subsp. delegatensis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, partly or all smooth"
Eucalyptus delegatensis subsp. tasmaniensis,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus delicata,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus dendromorpha,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus densa subsp. densa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus densa subsp. improcera,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus denticulata,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus depauperata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus desmondensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus deuaensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus dielsii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus diminuta,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus diptera,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus discreta,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus dissimulata,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus distans,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus distuberosa subsp. aerata,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus distuberosa subsp. distuberosa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus diversicolor,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus diversifolia subsp. diversifolia,"branches smooth, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus diversifolia subsp. hesperia,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus dives,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus dolichocera,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus dolichorhyncha,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus dolorosa,"branches smooth, no ribbons in branches, partly rough, rough bark box type"
Eucalyptus doratoxylon,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus dorrienii,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus dorrigoensis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus drummondii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus dumosa,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus dundasii,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Eucalyptus dunnii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus dura,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus dwyeri,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus ebbanoensis subsp. ebbanoensis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus ebbanoensis subsp. photina,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus ecostata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus educta,"branches minnirichi, no ribbons in branches, main minnirichi, partly or all smooth"
Eucalyptus effusa,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus elaeophloia,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus elata,"branches smooth, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth"
Eucalyptus elliptica,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus erectifolia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus eremicola subsp. eremicola,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus eremicola subsp. peeneri,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus eremophila,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus erosa,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus erythrandra,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus erythrocorys,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus erythronema subsp. erythronema,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus erythronema subsp. inornata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus eudesmioides subsp. eudesmioides,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus eudesmioides subsp. Pallida,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus eugenioides,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus ewartiana,"branches minnirichi, no ribbons in branches, fibrous, main minnirichi, partly rough, partly or all smooth"
Eucalyptus exigua,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus exilipes,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus exilis,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus expressa,"branches rough, fibrous, wholly rough"
Eucalyptus exserta,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus extensa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus extrica,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus falcata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus famelica,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus farinosa,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus fasciculosa,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus fastigata,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus fibrosa subsp. fibrosa,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus fibrosa subsp. nubila,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus flavida,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus flindersii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus flocktoniae subsp. flocktoniae,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus flocktoniae subsp. hebes,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus foecunda,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus foliosa,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus formanii,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus forrestiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus fraseri subsp. fraseri,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus fraseri subsp. melanobasis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark compacted, partly or all smooth"
Eucalyptus fraxinoides,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, rough bark compacted, partly or all smooth"
Eucalyptus frenchiana,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus froggattii,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus fruticosa,"branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus fulgens,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus fusiformis,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus gamophylla,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus gardneri subsp. gardneri,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus gardneri subsp. ravensthorpensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus georgei subsp. fulgida,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus georgei subsp. georgei,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus gigantangion,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus gillenii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus gillii,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus gittinsii subsp. gittinsii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus gittinsii subsp. illucida,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus glaucescens,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus glaucina,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus globoidea,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus globulus subsp. bicostata,"branches smooth, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus globulus subsp. globulus,"branches smooth, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus globulus subsp. maidenii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus globulus subsp. pseudoglobulus,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus glomericassis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus glomerosa,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus gomphocephala,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus gongylocarpa,"branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus goniantha subsp. goniantha,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus goniantha subsp. kynoura,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus goniocalyx subsp. exposa,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus goniocalyx subsp. goniocalyx,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus goniocalyx subsp. viridissima,"branches rough, branches smooth, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus goniocarpa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus gracilis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark compacted, rough bark tessellated, partly or all smooth"
Eucalyptus grandis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus granitica,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus gregoriensis,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus gregsoniana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus griffithsii,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus grisea,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus grossa,"branches rough, no ribbons in branches, fibrous, partly rough, wholly rough"
Eucalyptus guilfoylei,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus gunnii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus gypsophila,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus haemastoma,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus hallii,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus halophila,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus hebetifolia,"branches smooth, ribbons in branches, partly rough, rough bark imperfectly shed, partly or all smooth"
Eucalyptus helidonica,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus herbertiana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus histophylla,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
Eucalyptus horistes,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus houseana,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus howittiana,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus hypolaena,"branches smooth, no ribbons in branches, fibrous, partly rough, rough bark box type, partly or all smooth"
Eucalyptus hypostomatica,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus ignorabilis,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus imitans,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus imlayensis,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus impensa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus incerata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus incrassata,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth"
Eucalyptus indurata,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark compacted, rough bark ironbark, partly or all smooth"
Eucalyptus infera,"branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus insularis,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, partly or all smooth"
Eucalyptus interstans,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus intertexta,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus jacksonii,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus jensenii,"branches rough, no ribbons in branches, wholly rough, rough bark ironbark"
Eucalyptus johnsoniana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth"
Eucalyptus johnstonii,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus jucunda,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Eucalyptus jutsonii subsp. jutsonii,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth"
Eucalyptus jutsonii subsp. kobela,"branches rough, no ribbons in branches, fibrous, wholly rough"
Eucalyptus kabiana,"branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, partly or all smooth"
Eucalyptus kartzoffiana,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus kenneallyi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Eucalyptus kessellii subsp. eugnosta,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus kessellii subsp. kessellii,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus kingsmillii subsp. alatissima,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus kingsmillii subsp. kingsmillii,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth"
Eucalyptus kitsoniana,"branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth"
Eucalyptus kochii subsp. amaryssia,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Eucalyptus kochii subsp. borealis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus kochii subsp. kochii,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus kochii subsp. plenissima,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus kochii subsp. yellowdinensis,"branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth"
Eucalyptus kondininensis,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus kondininensis subsp. tuberosa,"branches smooth, no ribbons in branches, partly rough, rough bark box type, rough bark compacted, partly or all smooth"
Eucalyptus koolpinensis,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Eucalyptus kruseana,"branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark imperfectly shed, partly or all smooth"
