species,rough bark box type
Eucalyptus lucens,yes
Eucalyptus macrandra,yes
Eucalyptus magnificata,yes
Eucalyptus malacoxylon,yes
Eucalyptus mannensis subsp. mannensis,yes
Eucalyptus mannensis subsp. vespertina,yes
Eucalyptus medialis,yes
Eucalyptus melanophitra,yes
Eucalyptus melanoxylon,yes
Eucalyptus melliodora,yes
Eucalyptus merrickiae,yes
Eucalyptus microcarpa,yes
Eucalyptus microneura,yes
Eucalyptus microtheca,yes
Eucalyptus moderata,yes
Eucalyptus moluccana,yes
Eucalyptus morrisii,yes
Eucalyptus myriadena,yes
Eucalyptus nigrifunda,yes
Eucalyptus normantonensis,yes
Eucalyptus nortonii,yes
Eucalyptus obconica,yes
Eucalyptus obtusiflora,yes
Eucalyptus occidentalis,yes
Eucalyptus ochrophloia,yes
Eucalyptus odorata,yes
Eucalyptus oleosa subsp. corvina,yes
Eucalyptus oleosa subsp. cylindroidea,yes
Eucalyptus oleosa subsp. oleosa,yes
Eucalyptus oligantha,yes
Eucalyptus oraria,yes
Eucalyptus orgadophila,yes
Eucalyptus ovularis,yes
Eucalyptus pachyphylla,yes
Eucalyptus patellaris,yes
Eucalyptus patens,yes
Eucalyptus persistens subsp. persistens,yes
Eucalyptus persistens subsp. tardecidens,yes
Eucalyptus petiolaris,yes
Eucalyptus petraea,yes
Eucalyptus polyanthemos subsp. longior,yes
Eucalyptus polyanthemos subsp. polyanthemos,yes
Eucalyptus polyanthemos subsp. vestita,yes
Eucalyptus polybractea,yes
Eucalyptus populnea,yes
Eucalyptus porosa,yes
Eucalyptus prolixa,yes
Eucalyptus prominens,yes
Eucalyptus provecta,yes
Eucalyptus pruiniramis,yes
Eucalyptus pruinosa subsp. pruinosa,yes
Eucalyptus pruinosa subsp. tenuata,yes
Eucalyptus quadrangulata,yes
Eucalyptus radiata subsp. radiata,yes
Eucalyptus radiata subsp. robertsonii,yes
Eucalyptus raveretiana,yes
Eucalyptus relicta,yes
Eucalyptus repullulans,yes
Eucalyptus retinens,yes
Eucalyptus rodwayi,yes
Eucalyptus roycei,yes
Eucalyptus rudderi,yes
Eucalyptus rudis subsp. cratyantha,yes
Eucalyptus rudis subsp. rudis,yes
Eucalyptus rummeryi,yes
Eucalyptus sargentii subsp. onesia,yes
Eucalyptus sargentii subsp. sargentii,yes
Eucalyptus selachiana,yes
Eucalyptus semota,yes
Eucalyptus serraensis,yes
